Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,2690
1,1,0,2046,2160
2,2,0,2046,1631
3,3,0,2047,1137
4,4,0,2046,685
5,5,0,2046,320
6,6,0,2046,71
7,7,0,2047,0
8,8,0,2047,0
9,9,0,2046,69
10,10,0,2046,324
11,11,0,2047,691
12,12,0,2046,1146
13,13,0,2047,1648
14,14,0,2046,2172
15,15,0,2047,2693
16,16,0,2046,3177
17,17,0,2047,3588
18,18,0,2046,3897
19,19,0,2046,4092
20,20,0,2046,4095
21,21,0,2046,4089
22,22,0,2047,3896
23,23,0,2047,3582
24,24,0,2046,3170
25,25,0,2047,2689
26,26,0,2046,2159
27,27,0,2046,1631
28,28,0,2046,1139
29,29,0,2046,688
30,30,0,2047,324
31,31,0,2047,74
32,32,0,2046,0
33,33,0,2046,0
34,34,0,2046,69
35,35,0,2047,323
36,36,0,2047,690
37,37,0,2047,1145
38,38,0,2047,1648
39,39,0,2047,2172
40,40,0,2046,2694
41,41,0,2046,3179
42,42,0,2046,3587
43,43,0,2046,3897
44,44,0,2046,4092
45,45,0,2047,4095
46,46,0,2047,4090
47,47,0,2047,3898
48,48,0,2046,3584
49,49,0,2046,3174
50,50,0,2046,2691
51,51,0,2046,2160
52,52,0,2046,1633
53,53,0,2046,1139
54,54,0,2046,688
55,55,0,2047,323
56,56,0,2047,73
57,57,0,2047,0
58,58,0,2046,0
59,59,0,2047,67
60,60,0,2047,320
61,61,0,2047,688
62,62,0,2046,1141
63,63,0,2046,1643
64,64,0,2046,2169
65,65,0,2047,2692
66,66,0,2047,3175
67,67,0,2047,3587
68,68,0,2047,3897
69,69,0,2046,4092
70,70,0,2046,4095
71,71,0,2047,4089
72,72,0,2046,3897
73,73,0,2046,3584
74,74,0,2047,3173
75,75,0,2047,2692
76,76,0,2046,2160
77,77,0,2047,1631
78,78,0,2046,1138
79,79,0,2047,686
80,80,0,2046,321
81,81,0,2046,72
82,82,0,2047,0
83,83,0,2047,0
84,84,0,2047,70
85,85,0,2046,323
86,86,0,2046,690
87,87,0,2047,1144
88,88,0,2047,1647
89,89,0,2046,2170
90,90,0,2047,2692
91,91,0,2047,3176
92,92,0,2046,3585
93,93,0,2046,3895
94,94,0,2046,4091
95,95,0,2046,4095
96,96,0,2046,4089
97,97,0,2047,3897
98,98,0,2047,3582
99,99,0,2046,3171
100,100,0,2046,2688
101,101,0,2046,2158
102,102,0,2046,1630
103,103,0,2046,1138
104,104,0,2046,687
105,105,0,2047,322
106,106,0,2047,73
107,107,0,2046,0
108,108,0,2047,0
109,109,0,2047,69
110,110,0,2047,323
111,111,0,2047,691
112,112,0,2046,1144
113,113,0,2046,1647
114,114,0,2047,2172
115,115,0,2047,2696
116,116,0,2046,3181
117,117,0,2047,3587
118,118,0,2047,3897
119,119,0,2047,4092
120,120,0,2046,4095
121,121,0,2046,4089
122,122,0,2047,3896
123,123,0,2047,3582
124,124,0,2046,3172
125,125,0,2047,2689
126,126,0,2047,2157
127,127,0,2046,1629
128,128,0,2047,1135
129,129,0,2047,685
130,130,0,2046,322
131,131,0,2047,73
132,132,0,2047,0
133,133,0,2046,0
134,134,0,2046,68
135,135,0,2047,321
136,136,0,2047,687
137,137,0,2046,1140
138,138,0,2046,1643
139,139,0,2047,2169
140,140,0,2046,2691
141,141,0,2047,3176
142,142,0,2047,3586
143,143,0,2047,3895
144,144,0,2046,4091
145,145,0,2047,4095
146,146,0,2046,4090
147,147,0,2046,3899
148,148,0,2047,3586
149,149,0,2047,3176
150,150,0,2047,2694
151,151,0,2047,2165
152,152,0,2046,1636
153,153,0,2046,1142
154,154,0,2046,691
155,155,0,2047,324
156,156,0,2046,73
157,157,0,2047,0
158,158,0,2046,0
159,159,0,2047,68
160,160,0,2046,320
161,161,0,2046,686
162,162,0,2046,1140
163,163,0,2046,1642
164,164,0,2047,2167
165,165,0,2046,2688
166,166,0,2047,3172
167,167,0,2046,3583
168,168,0,2046,3893
169,169,0,2047,4090
170,170,0,2046,4095
171,171,0,2047,4090
172,172,0,2047,3897
173,173,0,2046,3585
174,174,0,2047,3175
175,175,0,2046,2692
176,176,0,2047,2159
177,177,0,2047,1629
178,178,0,2047,1138
179,179,0,2047,688
180,180,0,2046,321
181,181,0,2047,73
182,182,0,2046,0
183,183,0,2047,0
184,184,0,2046,69
185,185,0,2046,322
186,186,0,2046,688
187,187,0,2047,1142
188,188,0,2047,1645
189,189,0,2046,2171
190,190,0,2047,2694
191,191,0,2046,3177
192,192,0,2047,3585
193,193,0,2047,3896
194,194,0,2046,4091
195,195,0,2047,4095
196,196,0,2047,4089
197,197,0,2047,3898
198,198,0,2046,3585
199,199,0,2046,3175
200,200,0,2046,2693
201,201,0,2046,2161
202,202,0,2047,1633
203,203,0,2046,1140
204,204,0,2046,689
205,205,0,2046,324
206,206,0,2046,73
207,207,0,2047,0
208,208,0,2046,0
209,209,0,2047,69
210,210,0,2047,323
211,211,0,2046,689
212,212,0,2046,1142
213,213,0,2046,1645
214,214,0,2047,2170
215,215,0,2046,2691
216,216,0,2046,3177
217,217,0,2046,3587
218,218,0,2046,3896
219,219,0,2047,4091
220,220,0,2047,4095
221,221,0,2046,4089
222,222,0,2046,3896
223,223,0,2047,3583
224,224,0,2047,3172
225,225,0,2046,2690
226,226,0,2047,2159
227,227,0,2046,1632
228,228,0,2046,1138
229,229,0,2047,688
230,230,0,2047,322
231,231,0,2046,74
232,232,0,2046,0
233,233,0,2046,0
234,234,0,2046,68
235,235,0,2047,321
236,236,0,2046,689
237,237,0,2046,1143
238,238,0,2047,1646
239,239,0,2046,2171
240,240,0,2046,2693
241,241,0,2046,3177
242,242,0,2046,3585
243,243,0,2046,3894
244,244,0,2047,4090
245,245,0,2047,4095
246,246,0,2046,4089
247,247,0,2047,3897
248,248,0,2047,3584
249,249,0,2046,3172
250,250,0,2047,2689
251,251,0,2047,2158
252,252,0,2046,1629
253,253,0,2046,1137
254,254,0,2046,686
255,255,0,2046,322
256,256,0,2046,73
257,257,0,2046,0
258,258,0,2046,0
259,259,0,2046,68
260,260,0,2046,321
261,261,0,2046,688
262,262,0,2046,1143
263,263,0,2046,1645
264,264,0,2047,2169
265,265,0,2046,2690
266,266,0,2046,3175
267,267,0,2046,3584
268,268,0,2047,3896
269,269,0,2046,4090
270,270,0,2047,4095
271,271,0,2047,4090
272,272,0,2046,3899
273,273,0,2047,3586
274,274,0,2046,3177
275,275,0,2046,2694
276,276,0,2047,2163
277,277,0,2047,1634
278,278,0,2046,1140
279,279,0,2047,689
280,280,0,2046,323
281,281,0,2047,73
282,282,0,2046,0
283,283,0,2047,0
284,284,0,2047,68
285,285,0,2047,321
286,286,0,2047,689
287,287,0,2046,1142
288,288,0,2046,1644
289,289,0,2046,2169
290,290,0,2047,2690
291,291,0,2046,3176
292,292,0,2047,3585
293,293,0,2046,3895
294,294,0,2047,4092
295,295,0,2046,4095
296,296,0,2046,4089
297,297,0,2046,3897
298,298,0,2047,3584
299,299,0,2046,3173
300,300,0,2047,2691
301,301,0,2047,2159
302,302,0,2047,1631
303,303,0,2047,1139
304,304,0,2046,688
305,305,0,2046,324
306,306,0,2047,74
307,307,0,2046,0
308,308,0,2047,0
309,309,0,2046,67
310,310,0,2046,321
311,311,0,2047,688
312,312,0,2047,1141
313,313,0,2047,1645
314,314,0,2046,2169
315,315,0,2046,2691
316,316,0,2047,3177
317,317,0,2047,3585
318,318,0,2046,3895
319,319,0,2047,4091
320,320,0,2046,4095
321,321,0,2046,4089
322,322,0,2046,3896
323,323,0,2046,3583
324,324,0,2047,3172
325,325,0,2047,2689
326,326,0,2047,2159
327,327,0,2046,1632
328,328,0,2046,1139
329,329,0,2046,687
330,330,0,2046,323
331,331,0,2046,73
332,332,0,2046,0
333,333,0,2047,0
334,334,0,2047,68
335,335,0,2046,321
336,336,0,2046,688
337,337,0,2046,1141
338,338,0,2047,1644
339,339,0,2047,2169
340,340,0,2047,2691
341,341,0,2046,3177
342,342,0,2046,3587
343,343,0,2047,3896
344,344,0,2047,4091
345,345,0,2047,4095
346,346,0,2047,4089
347,347,0,2046,3897
348,348,0,2046,3583
349,349,0,2047,3173
350,350,0,2047,2693
351,351,0,2046,2162
352,352,0,2047,1634
353,353,0,2047,1140
354,354,0,2046,689
355,355,0,2047,323
356,356,0,2046,73
357,357,0,2047,0
358,358,0,2046,0
359,359,0,2047,68
360,360,0,2046,322
361,361,0,2047,687
362,362,0,2046,1140
363,363,0,2046,1643
364,364,0,2046,2166
365,365,0,2046,2688
366,366,0,2047,3173
367,367,0,2047,3584
368,368,0,2046,3893
369,369,0,2047,4091
370,370,0,2047,4095
371,371,0,2046,4089
372,372,0,2046,3898
373,373,0,2047,3585
374,374,0,2046,3174
375,375,0,2047,2692
376,376,0,2047,2161
377,377,0,2047,1633
378,378,0,2046,1138
379,379,0,2046,688
380,380,0,2046,324
381,381,0,2047,74
382,382,0,2047,0
383,383,0,2047,0
384,384,0,2047,68
385,385,0,2046,321
386,386,0,2047,687
387,387,0,2046,1141
388,388,0,2046,1643
389,389,0,2047,2167
390,390,0,2047,2690
391,391,0,2047,3176
392,392,0,2046,3584
393,393,0,2046,3894
394,394,0,2046,4090
395,395,0,2047,4095
396,396,0,2046,4090
397,397,0,2047,3898
398,398,0,2047,3585
399,399,0,2046,3174
400,400,0,2047,2691
401,401,0,2047,2158
402,402,0,2046,1630
403,403,0,2046,1137
404,404,0,2046,686
405,405,0,2047,322
406,406,0,2046,73
407,407,0,2047,0
408,408,0,2047,0
409,409,0,2046,69
410,410,0,2046,321
411,411,0,2046,687
412,412,0,2046,1140
413,413,0,2046,1642
414,414,0,2047,2166
415,415,0,2046,2689
416,416,0,2046,3174
417,417,0,2047,3584
418,418,0,2046,3894
419,419,0,2046,4090
420,420,0,2046,4095
421,421,0,2046,4089
422,422,0,2047,3897
423,423,0,2047,3585
424,424,0,2046,3174
425,425,0,2047,2693
426,426,0,2047,2164
427,427,0,2046,1635
428,428,0,2046,1141
429,429,0,2046,689
430,430,0,2047,322
431,431,0,2046,73
432,432,0,2046,0
433,433,0,2046,0
434,434,0,2047,69
435,435,0,2047,322
436,436,0,2047,689
437,437,0,2046,1144
438,438,0,2047,1645
439,439,0,2046,2170
440,440,0,2047,2691
441,441,0,2046,3175
442,442,0,2047,3585
443,443,0,2046,3894
444,444,0,2046,4091
445,445,0,2046,4095
446,446,0,2046,4089
447,447,0,2047,3898
448,448,0,2046,3584
449,449,0,2046,3174
450,450,0,2047,2690
451,451,0,2046,2160
452,452,0,2046,1633
453,453,0,2046,1138
454,454,0,2046,687
455,455,0,2046,324
456,456,0,2047,73
457,457,0,2046,0
458,458,0,2046,0
459,459,0,2047,68
460,460,0,2047,321
461,461,0,2045,687
462,462,0,2046,1142
463,463,0,2047,1646
464,464,0,2046,2171
465,465,0,2047,2693
466,466,0,2046,3177
467,467,0,2046,3585
468,468,0,2046,3895
469,469,0,2046,4091
470,470,0,2047,4095
471,471,0,2047,4090
472,472,0,2047,3900
473,473,0,2047,3587
474,474,0,2046,3177
475,475,0,2046,2694
476,476,0,2047,2164
477,477,0,2047,1634
478,478,0,2047,1141
479,479,0,2046,690
480,480,0,2046,324
481,481,0,2047,73
482,482,0,2046,0
483,483,0,2046,0
484,484,0,2047,68
485,485,0,2047,319
486,486,0,2047,687
487,487,0,2046,1140
488,488,0,2046,1642
489,489,0,2046,2167
490,490,0,2047,2689
491,491,0,2046,3172
492,492,0,2047,3584
493,493,0,2047,3894
494,494,0,2046,4091
495,495,0,2046,4095
496,496,0,2046,4089
497,497,0,2047,3899
498,498,0,2047,3586
499,499,0,2047,3177
500,500,0,2046,2695
501,501,0,2046,2164
502,502,0,2047,1636
503,503,0,2046,1143
504,504,0,2046,692
505,505,0,2047,325
506,506,0,2046,74
507,507,0,2046,0
508,508,0,2047,0
509,509,0,2047,67
510,510,0,2047,320
511,511,0,2046,687
512,512,0,2046,1142
513,513,0,2047,1642
514,514,0,2046,2167
515,515,0,2047,2688
516,516,0,2046,3173
517,517,0,2047,3581
518,518,0,2047,3892
519,519,0,2046,4089
520,520,0,2047,4095
521,521,0,2046,4090
522,522,0,2046,3899
523,523,0,2046,3587
524,524,0,2047,3175
525,525,0,2047,2692
526,526,0,2047,2162
527,527,0,2047,1634
528,528,0,2047,1140
529,529,0,2046,689
530,530,0,2046,325
531,531,0,2047,74
532,532,0,2046,0
