Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,229
1,1,0,2046,1522
2,2,0,2047,3218
3,3,0,2046,3995
4,4,0,2047,3244
5,5,0,2046,1555
6,6,0,2047,243
7,7,0,2047,332
8,8,0,2047,1752
9,9,0,2047,3396
10,10,0,2047,3982
11,11,0,2046,3051
12,12,0,2047,1330
13,13,0,2046,163
14,14,0,2046,459
15,15,0,2047,1987
16,16,0,2046,3557
17,17,0,2046,3941
18,18,0,2047,2842
19,19,0,2046,1116
20,20,0,2047,111
21,21,0,2046,609
22,22,0,2047,2223
23,23,0,2046,3694
24,24,0,2046,3873
25,25,0,2046,2621
26,26,0,2046,915
27,27,0,2047,86
28,28,0,2047,779
29,29,0,2046,2456
30,30,0,2046,3806
31,31,0,2047,3779
32,32,0,2047,2392
33,33,0,2046,731
34,34,0,2046,90
35,35,0,2046,969
36,36,0,2046,2682
37,37,0,2047,3894
38,38,0,2047,3658
39,39,0,2046,2159
40,40,0,2046,566
41,41,0,2046,122
42,42,0,2046,1174
43,43,0,2047,2900
44,44,0,2046,3955
45,45,0,2047,3514
46,46,0,2046,1923
47,47,0,2046,422
48,48,0,2046,182
49,49,0,2046,1390
50,50,0,2047,3105
51,51,0,2046,3988
52,52,0,2047,3350
53,53,0,2047,1689
54,54,0,2046,301
55,55,0,2047,269
56,56,0,2046,1617
57,57,0,2046,3295
58,58,0,2047,3992
59,59,0,2047,3165
60,60,0,2046,1460
61,61,0,2047,206
62,62,0,2046,381
63,63,0,2046,1850
64,64,0,2047,3465
65,65,0,2047,3967
66,66,0,2046,2964
67,67,0,2047,1239
68,68,0,2046,138
69,69,0,2046,518
70,70,0,2047,2084
71,71,0,2046,3616
72,72,0,2047,3916
73,73,0,2047,2751
74,74,0,2047,1031
75,75,0,2046,97
76,76,0,2047,677
77,77,0,2047,2321
78,78,0,2047,3743
79,79,0,2047,3837
80,80,0,2047,2527
81,81,0,2046,837
82,82,0,2046,84
83,83,0,2047,856
84,84,0,2046,2551
85,85,0,2046,3845
86,86,0,2047,3731
87,87,0,2047,2296
88,88,0,2046,660
89,89,0,2047,100
90,90,0,2046,1051
91,91,0,2046,2773
92,92,0,2047,3923
93,93,0,2046,3601
94,94,0,2047,2060
95,95,0,2047,503
96,96,0,2046,143
97,97,0,2047,1263
98,98,0,2047,2987
99,99,0,2047,3972
100,100,0,2047,3448
101,101,0,2046,1825
102,102,0,2046,369
103,103,0,2047,215
104,104,0,2047,1484
105,105,0,2047,3185
106,106,0,2046,3992
107,107,0,2046,3275
108,108,0,2046,1593
109,109,0,2046,259
110,110,0,2047,313
111,111,0,2047,1713
112,112,0,2046,3368
113,113,0,2047,3985
114,114,0,2047,3084
115,115,0,2046,1367
116,116,0,2047,174
117,117,0,2047,436
118,118,0,2046,1948
119,119,0,2046,3531
120,120,0,2046,3950
121,121,0,2046,2877
122,122,0,2046,1151
123,123,0,2046,117
124,124,0,2047,582
125,125,0,2046,2182
126,126,0,2046,3673
127,127,0,2046,3887
128,128,0,2046,2659
129,129,0,2047,947
