Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,3883
1,1,0,2046,3375
2,2,0,2047,1511
3,3,0,2046,182
4,4,0,2046,738
5,5,0,2046,2613
6,6,0,2046,3906
7,7,0,2047,3304
8,8,0,2046,1419
9,9,0,2046,163
10,10,0,2046,809
11,11,0,2046,2704
12,12,0,2047,3924
13,13,0,2046,3231
14,14,0,2047,1329
15,15,0,2046,148
16,16,0,2047,884
17,17,0,2047,2793
18,18,0,2047,3937
19,19,0,2047,3154
20,20,0,2047,1241
21,21,0,2047,137
22,22,0,2046,963
23,23,0,2046,2879
24,24,0,2046,3944
25,25,0,2046,3075
26,26,0,2046,1155
27,27,0,2046,131
28,28,0,2047,1043
29,29,0,2046,2964
30,30,0,2047,3948
31,31,0,2046,2993
32,32,0,2047,1071
33,33,0,2047,131
34,34,0,2046,1126
35,35,0,2046,3047
36,36,0,2046,3946
37,37,0,2047,2909
38,38,0,2046,989
39,39,0,2046,134
40,40,0,2046,1212
41,41,0,2046,3127
42,42,0,2047,3940
43,43,0,2047,2822
44,44,0,2047,911
45,45,0,2047,143
46,46,0,2046,1298
47,47,0,2046,3204
48,48,0,2046,3928
49,49,0,2046,2733
50,50,0,2046,835
51,51,0,2046,157
52,52,0,2047,1388
53,53,0,2047,3279
54,54,0,2047,3913
55,55,0,2047,2644
56,56,0,2046,762
57,57,0,2046,175
58,58,0,2047,1479
59,59,0,2047,3351
60,60,0,2046,3891
61,61,0,2046,2552
62,62,0,2046,693
63,63,0,2046,198
64,64,0,2047,1572
65,65,0,2046,3418
66,66,0,2046,3866
67,67,0,2046,2460
68,68,0,2047,626
69,69,0,2046,226
70,70,0,2047,1665
71,71,0,2046,3483
72,72,0,2047,3836
73,73,0,2046,2366
74,74,0,2046,564
75,75,0,2046,258
76,76,0,2047,1759
77,77,0,2047,3544
78,78,0,2047,3802
79,79,0,2046,2271
80,80,0,2046,505
81,81,0,2046,295
82,82,0,2047,1854
83,83,0,2047,3600
84,84,0,2046,3762
85,85,0,2046,2175
86,86,0,2047,449
87,87,0,2046,336
88,88,0,2046,1949
89,89,0,2047,3655
90,90,0,2046,3719
91,91,0,2047,2080
92,92,0,2047,399
93,93,0,2046,382
94,94,0,2046,2046
95,95,0,2046,3702
96,96,0,2046,3672
97,97,0,2047,1984
98,98,0,2046,352
99,99,0,2047,431
100,100,0,2046,2141
101,101,0,2047,3748
102,102,0,2047,3621
103,103,0,2047,1888
104,104,0,2046,309
105,105,0,2047,485
106,106,0,2046,2237
107,107,0,2047,3788
108,108,0,2047,3565
109,109,0,2046,1793
110,110,0,2046,270
111,111,0,2047,542
112,112,0,2047,2332
113,113,0,2047,3824
114,114,0,2046,3505
115,115,0,2046,1698
116,116,0,2046,237
117,117,0,2046,604
118,118,0,2046,2425
119,119,0,2047,3856
120,120,0,2046,3442
121,121,0,2047,1603
122,122,0,2046,207
123,123,0,2047,669
124,124,0,2047,2520
125,125,0,2047,3883
126,126,0,2046,3375
127,127,0,2046,1511
128,128,0,2046,183
129,129,0,2047,737
130,130,0,2047,2612
131,131,0,2046,3905
132,132,0,2046,3305
133,133,0,2046,1420
134,134,0,2046,162
135,135,0,2046,809
136,136,0,2047,2702
137,137,0,2046,3923
138,138,0,2046,3231
139,139,0,2047,1329
140,140,0,2046,148
141,141,0,2046,884
142,142,0,2047,2792
143,143,0,2046,3936
144,144,0,2047,3155
145,145,0,2046,1242
146,146,0,2046,137
147,147,0,2046,962
148,148,0,2047,2879
149,149,0,2047,3944
150,150,0,2047,3076
151,151,0,2046,1156
152,152,0,2046,132
153,153,0,2047,1042
154,154,0,2046,2964
155,155,0,2046,3947
156,156,0,2046,2994
157,157,0,2046,1072
158,158,0,2046,130
159,159,0,2046,1125
160,160,0,2046,3046
161,161,0,2047,3946
162,162,0,2046,2910
163,163,0,2046,990
164,164,0,2046,134
165,165,0,2046,1210
166,166,0,2047,3126
167,167,0,2046,3940
168,168,0,2047,2823
169,169,0,2046,911
170,170,0,2046,143
171,171,0,2047,1298
172,172,0,2046,3204
173,173,0,2046,3928
174,174,0,2046,2735
175,175,0,2046,836
176,176,0,2046,157
177,177,0,2047,1387
178,178,0,2047,3278
179,179,0,2046,3912
180,180,0,2046,2645
181,181,0,2046,763
182,182,0,2046,175
183,183,0,2046,1478
184,184,0,2047,3349
185,185,0,2047,3892
186,186,0,2047,2553
187,187,0,2046,694
188,188,0,2046,198
189,189,0,2047,1570
190,190,0,2047,3418
191,191,0,2047,3866
192,192,0,2046,2460
193,193,0,2047,627
194,194,0,2046,226
195,195,0,2046,1664
196,196,0,2047,3482
197,197,0,2047,3837
198,198,0,2046,2366
199,199,0,2047,564
200,200,0,2047,257
201,201,0,2047,1757
202,202,0,2046,3543
203,203,0,2047,3802
204,204,0,2047,2272
205,205,0,2047,505
206,206,0,2046,295
207,207,0,2047,1853
208,208,0,2046,3600
209,209,0,2046,3764
210,210,0,2046,2176
211,211,0,2047,450
212,212,0,2046,336
213,213,0,2046,1949
214,214,0,2047,3654
215,215,0,2046,3720
216,216,0,2046,2080
217,217,0,2047,399
218,218,0,2046,381
219,219,0,2046,2045
220,220,0,2047,3702
221,221,0,2046,3672
222,222,0,2046,1984
223,223,0,2046,352
224,224,0,2046,430
225,225,0,2047,2140
226,226,0,2047,3747
227,227,0,2046,3621
228,228,0,2046,1889
229,229,0,2046,309
230,230,0,2047,484
231,231,0,2047,2235
232,232,0,2047,3788
233,233,0,2047,3565
234,234,0,2046,1793
235,235,0,2047,271
236,236,0,2047,542
237,237,0,2047,2330
238,238,0,2046,3824
239,239,0,2046,3505
240,240,0,2047,1699
241,241,0,2045,237
242,242,0,2046,603
243,243,0,2046,2425
244,244,0,2047,3856
245,245,0,2047,3442
246,246,0,2046,1605
247,247,0,2046,207
248,248,0,2046,668
249,249,0,2046,2519
250,250,0,2046,3882
251,251,0,2047,3375
252,252,0,2046,1512
253,253,0,2047,183
254,254,0,2046,737
255,255,0,2046,2611
256,256,0,2046,3905
257,257,0,2047,3305
258,258,0,2046,1421
259,259,0,2046,162
260,260,0,2046,808
261,261,0,2047,2701
262,262,0,2046,3923
263,263,0,2046,3232
264,264,0,2047,1330
265,265,0,2047,148
266,266,0,2046,883
267,267,0,2046,2790
268,268,0,2046,3936
269,269,0,2047,3155
270,270,0,2047,1243
271,271,0,2046,137
272,272,0,2046,961
273,273,0,2045,2878
274,274,0,2046,3944
275,275,0,2047,3076
276,276,0,2046,1157
277,277,0,2046,131
278,278,0,2046,1041
279,279,0,2047,2963
280,280,0,2046,3947
281,281,0,2047,2995
282,282,0,2047,1072
283,283,0,2046,130
284,284,0,2046,1124
285,285,0,2047,3046
286,286,0,2046,3946
287,287,0,2046,2912
288,288,0,2047,991
289,289,0,2046,135
290,290,0,2046,1209
291,291,0,2047,3126
292,292,0,2046,3940
293,293,0,2046,2824
294,294,0,2047,913
295,295,0,2046,142
296,296,0,2046,1297
297,297,0,2046,3203
298,298,0,2046,3928
299,299,0,2046,2735
300,300,0,2047,836
301,301,0,2046,156
302,302,0,2047,1386
303,303,0,2047,3277
304,304,0,2046,3913
305,305,0,2046,2646
306,306,0,2046,763
307,307,0,2046,175
308,308,0,2047,1476
309,309,0,2046,3349
310,310,0,2046,3892
311,311,0,2047,2553
312,312,0,2047,693
313,313,0,2046,198
314,314,0,2046,1570
315,315,0,2047,3416
316,316,0,2047,3867
317,317,0,2047,2461
318,318,0,2046,628
319,319,0,2046,226
320,320,0,2046,1663
321,321,0,2046,3481
322,322,0,2046,3837
323,323,0,2047,2368
324,324,0,2047,565
325,325,0,2046,257
326,326,0,2046,1757
327,327,0,2046,3542
328,328,0,2046,3803
329,329,0,2046,2272
330,330,0,2047,506
331,331,0,2047,295
332,332,0,2046,1852
333,333,0,2047,3600
334,334,0,2046,3763
335,335,0,2046,2177
336,336,0,2047,451
337,337,0,2046,335
338,338,0,2046,1948
339,339,0,2046,3653
340,340,0,2047,3720
341,341,0,2046,2081
342,342,0,2046,400
343,343,0,2046,380
344,344,0,2046,2044
345,345,0,2046,3703
346,346,0,2047,3673
347,347,0,2047,1985
348,348,0,2047,352
349,349,0,2047,430
350,350,0,2046,2140
351,351,0,2046,3747
352,352,0,2047,3621
353,353,0,2047,1889
354,354,0,2046,309
355,355,0,2046,483
356,356,0,2047,2235
357,357,0,2047,3788
358,358,0,2046,3565
359,359,0,2046,1794
360,360,0,2047,271
361,361,0,2046,542
362,362,0,2046,2330
363,363,0,2047,3823
364,364,0,2047,3506
365,365,0,2046,1699
366,366,0,2046,237
367,367,0,2046,602
368,368,0,2046,2425
369,369,0,2047,3856
370,370,0,2046,3442
371,371,0,2047,1605
372,372,0,2047,208
373,373,0,2046,668
374,374,0,2047,2518
375,375,0,2046,3883
376,376,0,2046,3376
377,377,0,2046,1513
378,378,0,2046,183
379,379,0,2046,736
380,380,0,2046,2610
381,381,0,2047,3905
382,382,0,2046,3306
383,383,0,2047,1421
384,384,0,2047,163
385,385,0,2046,807
386,386,0,2047,2701
387,387,0,2047,3923
388,388,0,2046,3233
389,389,0,2046,1331
390,390,0,2046,148
391,391,0,2047,883
392,392,0,2046,2790
393,393,0,2046,3936
394,394,0,2047,3156
395,395,0,2046,1244
396,396,0,2046,137
397,397,0,2046,961
398,398,0,2046,2878
399,399,0,2047,3944
400,400,0,2047,3077
401,401,0,2047,1157
402,402,0,2046,132
403,403,0,2047,1041
404,404,0,2046,2962
405,405,0,2047,3947
406,406,0,2046,2995
407,407,0,2046,1074
408,408,0,2046,130
409,409,0,2047,1123
410,410,0,2046,3044
411,411,0,2047,3946
412,412,0,2046,2911
413,413,0,2046,992
414,414,0,2046,134
415,415,0,2047,1208
416,416,0,2046,3124
417,417,0,2047,3940
418,418,0,2046,2825
419,419,0,2046,913
420,420,0,2046,143
421,421,0,2047,1296
422,422,0,2046,3203
423,423,0,2047,3928
424,424,0,2046,2737
425,425,0,2046,838
426,426,0,2046,156
427,427,0,2047,1385
428,428,0,2046,3277
429,429,0,2047,3912
