Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,1504
1,1,0,2047,1049
2,2,0,2046,646
3,3,0,2046,333
4,4,0,2047,128
5,5,0,2046,40
6,6,0,2046,81
7,7,0,2046,245
8,8,0,2046,518
9,9,0,2047,891
10,10,0,2046,1338
11,11,0,2046,1823
12,12,0,2046,2323
13,13,0,2046,2806
14,14,0,2047,3240
15,15,0,2047,3600
16,16,0,2047,3863
17,17,0,2047,4011
18,18,0,2047,4030
19,19,0,2047,3929
20,20,0,2047,3708
21,21,0,2046,3377
22,22,0,2047,2969
23,23,0,2046,2498
24,24,0,2046,1991
25,25,0,2046,1499
26,26,0,2046,1046
27,27,0,2047,645
28,28,0,2046,334
29,29,0,2047,129
30,30,0,2046,41
31,31,0,2046,82
32,32,0,2046,245
33,33,0,2046,519
34,34,0,2047,891
35,35,0,2047,1339
36,36,0,2047,1826
37,37,0,2047,2326
38,38,0,2046,2809
39,39,0,2046,3243
40,40,0,2046,3600
41,41,0,2047,3864
42,42,0,2046,4011
43,43,0,2047,4030
44,44,0,2047,3931
45,45,0,2047,3708
46,46,0,2047,3377
47,47,0,2047,2970
48,48,0,2046,2498
49,49,0,2047,1991
50,50,0,2047,1498
51,51,0,2047,1045
52,52,0,2046,644
53,53,0,2047,333
54,54,0,2047,129
55,55,0,2046,40
56,56,0,2047,81
57,57,0,2047,246
58,58,0,2046,518
59,59,0,2047,891
60,60,0,2046,1338
61,61,0,2046,1823
62,62,0,2047,2322
63,63,0,2046,2807
64,64,0,2046,3240
65,65,0,2046,3599
66,66,0,2046,3862
67,67,0,2046,4010
68,68,0,2047,4031
69,69,0,2047,3931
70,70,0,2046,3710
71,71,0,2046,3381
72,72,0,2046,2973
73,73,0,2047,2503
74,74,0,2047,1995
75,75,0,2046,1503
76,76,0,2047,1048
77,77,0,2046,646
78,78,0,2047,334
79,79,0,2046,130
80,80,0,2047,40
81,81,0,2047,82
82,82,0,2046,245
83,83,0,2046,518
84,84,0,2046,890
85,85,0,2046,1336
86,86,0,2047,1822
87,87,0,2046,2322
88,88,0,2046,2804
89,89,0,2047,3237
90,90,0,2046,3597
91,91,0,2046,3861
92,92,0,2046,4009
93,93,0,2046,4030
94,94,0,2047,3931
95,95,0,2046,3710
96,96,0,2047,3381
97,97,0,2047,2975
98,98,0,2047,2502
99,99,0,2047,1995
100,100,0,2046,1504
101,101,0,2046,1049
102,102,0,2046,647
103,103,0,2046,335
104,104,0,2047,131
105,105,0,2047,41
106,106,0,2046,81
107,107,0,2047,245
108,108,0,2046,518
109,109,0,2046,890
110,110,0,2047,1337
111,111,0,2047,1824
112,112,0,2047,2324
113,113,0,2046,2809
114,114,0,2046,3242
115,115,0,2047,3599
116,116,0,2046,3863
117,117,0,2046,4011
118,118,0,2046,4031
119,119,0,2046,3931
120,120,0,2046,3709
121,121,0,2046,3378
122,122,0,2046,2971
123,123,0,2046,2499
124,124,0,2046,1991
125,125,0,2046,1500
126,126,0,2046,1045
127,127,0,2046,644
128,128,0,2047,332
129,129,0,2046,129
130,130,0,2046,40
131,131,0,2047,81
132,132,0,2046,246
133,133,0,2046,520
134,134,0,2047,892
135,135,0,2046,1339
136,136,0,2046,1825
137,137,0,2047,2325
138,138,0,2046,2809
139,139,0,2046,3243
140,140,0,2047,3601
141,141,0,2047,3865
142,142,0,2047,4011
143,143,0,2046,4031
144,144,0,2046,3930
145,145,0,2046,3708
146,146,0,2046,3378
147,147,0,2046,2972
148,148,0,2046,2500
149,149,0,2046,1994
150,150,0,2046,1504
151,151,0,2047,1048
152,152,0,2047,646
153,153,0,2046,334
154,154,0,2046,130
155,155,0,2046,41
156,156,0,2047,81
157,157,0,2046,246
158,158,0,2047,519
159,159,0,2046,892
160,160,0,2046,1337
161,161,0,2047,1823
162,162,0,2047,2323
163,163,0,2046,2806
164,164,0,2047,3239
165,165,0,2046,3598
166,166,0,2046,3861
167,167,0,2046,4009
168,168,0,2046,4031
169,169,0,2046,3931
170,170,0,2047,3711
171,171,0,2047,3382
172,172,0,2046,2975
173,173,0,2046,2505
174,174,0,2046,1998
175,175,0,2047,1507
176,176,0,2047,1051
177,177,0,2047,649
178,178,0,2046,336
179,179,0,2047,131
180,180,0,2046,41
181,181,0,2046,80
182,182,0,2046,242
183,183,0,2047,515
184,184,0,2046,888
185,185,0,2046,1334
186,186,0,2047,1820
187,187,0,2046,2321
188,188,0,2046,2805
189,189,0,2046,3239
190,190,0,2046,3598
191,191,0,2046,3863
192,192,0,2047,4010
193,193,0,2047,4030
194,194,0,2046,3930
195,195,0,2046,3709
196,196,0,2046,3380
197,197,0,2046,2974
198,198,0,2046,2501
199,199,0,2046,1994
200,200,0,2046,1503
201,201,0,2046,1048
202,202,0,2046,646
203,203,0,2047,333
204,204,0,2046,129
205,205,0,2046,40
206,206,0,2047,82
207,207,0,2047,244
208,208,0,2047,519
209,209,0,2047,892
210,210,0,2047,1338
211,211,0,2046,1826
212,212,0,2046,2325
213,213,0,2045,2809
214,214,0,2047,3243
215,215,0,2046,3601
216,216,0,2046,3864
217,217,0,2046,4011
218,218,0,2046,4031
219,219,0,2046,3930
220,220,0,2046,3707
221,221,0,2046,3377
222,222,0,2046,2969
223,223,0,2047,2498
224,224,0,2046,1991
225,225,0,2046,1500
226,226,0,2046,1047
227,227,0,2046,645
228,228,0,2047,333
229,229,0,2046,128
230,230,0,2046,40
231,231,0,2047,82
232,232,0,2046,247
233,233,0,2046,521
234,234,0,2047,894
235,235,0,2047,1341
236,236,0,2046,1828
237,237,0,2047,2328
238,238,0,2047,2811
239,239,0,2046,3243
240,240,0,2046,3601
241,241,0,2046,3863
242,242,0,2046,4009
243,243,0,2046,4030
244,244,0,2047,3930
245,245,0,2046,3708
246,246,0,2047,3379
247,247,0,2047,2971
248,248,0,2046,2499
249,249,0,2046,1992
250,250,0,2047,1500
251,251,0,2046,1047
252,252,0,2047,645
253,253,0,2046,334
254,254,0,2047,130
255,255,0,2046,41
256,256,0,2046,81
257,257,0,2047,244
258,258,0,2046,517
259,259,0,2047,889
260,260,0,2046,1337
261,261,0,2046,1823
262,262,0,2046,2324
263,263,0,2046,2807
264,264,0,2046,3241
265,265,0,2046,3600
266,266,0,2046,3864
267,267,0,2046,4010
268,268,0,2046,4031
269,269,0,2046,3930
270,270,0,2046,3708
271,271,0,2046,3379
272,272,0,2046,2971
273,273,0,2046,2500
274,274,0,2047,1992
275,275,0,2045,1500
276,276,0,2046,1046
277,277,0,2047,644
278,278,0,2046,333
279,279,0,2047,129
280,280,0,2046,39
281,281,0,2046,82
282,282,0,2046,246
283,283,0,2047,519
284,284,0,2046,891
285,285,0,2047,1338
286,286,0,2046,1824
287,287,0,2046,2323
288,288,0,2046,2807
289,289,0,2047,3241
290,290,0,2046,3600
291,291,0,2046,3864
292,292,0,2046,4010
293,293,0,2047,4030
294,294,0,2046,3929
