Sample in Buffer,Sample in Window,TRIGGER,adc2_data_b_d0[11:0],adc2_data_a_d0[11:0]
0,0,0,0,2049
1,1,0,0,2049
2,2,0,119,2049
3,3,0,448,2049
4,4,0,915,2049
5,5,0,1483,2049
6,6,0,2100,2050
7,7,0,2713,2049
8,8,0,3266,2049
9,9,0,3713,2049
10,10,0,4013,2049
11,11,0,4095,2050
12,12,0,4080,2049
13,13,0,3843,2049
14,14,0,3447,2049
15,15,0,2929,2049
16,16,0,2331,2049
17,17,0,1710,2049
18,18,0,1118,2049
19,19,0,607,2049
20,20,0,223,2049
21,21,0,0,2049
22,22,0,0,2049
23,23,0,97,2049
24,24,0,408,2049
25,25,0,864,2049
26,26,0,1425,2049
27,27,0,2040,2049
28,28,0,2656,2049
29,29,0,3217,2049
30,30,0,3676,2049
31,31,0,3990,2050
32,32,0,4095,2049
33,33,0,4095,2049
34,34,0,3874,2049
35,35,0,3492,2049
36,36,0,2983,2049
37,37,0,2392,2049
38,38,0,1770,2049
39,39,0,1173,2049
40,40,0,652,2050
41,41,0,254,2049
42,42,0,13,2049
43,43,0,0,2049
44,44,0,75,2049
45,45,0,371,2049
46,46,0,815,2049
47,47,0,1367,2049
48,48,0,1979,2049
49,49,0,2597,2050
50,50,0,3166,2049
51,51,0,3637,2049
52,52,0,3968,2050
53,53,0,4095,2049
54,54,0,4095,2049
55,55,0,3903,2049
56,56,0,3536,2049
57,57,0,3037,2050
58,58,0,2451,2049
59,59,0,1830,2049
60,60,0,1228,2049
61,61,0,697,2049
62,62,0,286,2050
63,63,0,29,2049
64,64,0,0,2049
65,65,0,55,2049
66,66,0,335,2049
67,67,0,766,2049
68,68,0,1310,2049
69,69,0,1919,2049
70,70,0,2538,2049
71,71,0,3115,2049
72,72,0,3597,2048
73,73,0,3942,2049
74,74,0,4095,2048
75,75,0,4095,2049
76,76,0,3930,2049
77,77,0,3577,2050
78,78,0,3090,2049
79,79,0,2510,2049
80,80,0,1891,2049
81,81,0,1284,2048
82,82,0,745,2049
83,83,0,319,2049
84,84,0,46,2049
85,85,0,0,2049
86,86,0,37,2049
87,87,0,302,2049
88,88,0,719,2049
89,89,0,1253,2049
90,90,0,1858,2050
91,91,0,2479,2049
92,92,0,3062,2049
93,93,0,3555,2049
94,94,0,3916,2049
95,95,0,4095,2049
96,96,0,4095,2049
97,97,0,3956,2049
98,98,0,3618,2049
99,99,0,3142,2050
100,100,0,2569,2049
101,101,0,1951,2049
102,102,0,1342,2050
103,103,0,793,2049
104,104,0,355,2049
105,105,0,65,2049
106,106,0,0,2049
107,107,0,20,2050
108,108,0,269,2049
109,109,0,673,2049
110,110,0,1198,2050
111,111,0,1798,2049
112,112,0,2420,2049
113,113,0,3009,2049
114,114,0,3512,2050
115,115,0,3887,2049
116,116,0,4095,2048
117,117,0,4095,2050
118,118,0,3980,2049
119,119,0,3658,2049
120,120,0,3193,2049
121,121,0,2628,2049
122,122,0,2012,2049
123,123,0,1398,2049
124,124,0,842,2049
125,125,0,391,2049
126,126,0,87,2050
127,127,0,0,2049
128,128,0,6,2049
129,129,0,237,2048
