Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,991
1,1,0,2046,229
2,2,0,2046,0
3,3,0,2046,350
4,4,0,2047,1197
5,5,0,2046,2289
6,6,0,2047,3307
7,7,0,2047,3958
8,8,0,2046,4051
9,9,0,2046,3560
10,10,0,2046,2628
11,11,0,2046,1525
12,12,0,2046,572
13,13,0,2046,41
14,14,0,2047,92
15,15,0,2046,707
16,16,0,2046,1709
17,17,0,2046,2805
18,18,0,2047,3679
19,19,0,2046,4078
20,20,0,2046,3884
21,21,0,2046,3153
22,22,0,2046,2101
23,23,0,2046,1030
24,24,0,2046,252
25,25,0,2047,0
26,26,0,2046,325
27,27,0,2046,1154
28,28,0,2046,2242
29,29,0,2047,3270
30,30,0,2047,3940
31,31,0,2046,4059
32,32,0,2046,3591
33,33,0,2046,2672
34,34,0,2047,1570
35,35,0,2046,604
36,36,0,2046,53
37,37,0,2047,78
38,38,0,2046,673
39,39,0,2047,1663
40,40,0,2046,2762
41,41,0,2046,3651
42,42,0,2047,4073
43,43,0,2046,3903
44,44,0,2046,3192
45,45,0,2046,2147
46,46,0,2046,1071
47,47,0,2046,274
48,48,0,2046,0
49,49,0,2047,300
50,50,0,2046,1113
51,51,0,2046,2196
52,52,0,2047,3232
53,53,0,2046,3923
54,54,0,2046,4065
55,55,0,2046,3621
56,56,0,2047,2716
57,57,0,2047,1615
58,58,0,2046,637
59,59,0,2047,65
60,60,0,2046,65
61,61,0,2047,638
62,62,0,2046,1617
63,63,0,2047,2719
64,64,0,2047,3623
65,65,0,2046,4066
66,66,0,2046,3922
67,67,0,2047,3231
68,68,0,2047,2194
69,69,0,2046,1112
70,70,0,2047,299
71,71,0,2046,0
72,72,0,2046,275
73,73,0,2046,1072
74,74,0,2047,2150
75,75,0,2046,3194
76,76,0,2047,3904
77,77,0,2046,4071
78,78,0,2047,3649
79,79,0,2046,2760
80,80,0,2046,1661
81,81,0,2046,672
82,82,0,2046,78
83,83,0,2046,54
84,84,0,2047,605
85,85,0,2046,1572
86,86,0,2046,2674
87,87,0,2046,3592
88,88,0,2046,4059
89,89,0,2047,3940
90,90,0,2046,3268
91,91,0,2046,2240
92,92,0,2046,1153
93,93,0,2047,324
94,94,0,2046,0
95,95,0,2046,252
96,96,0,2046,1032
97,97,0,2046,2104
98,98,0,2047,3156
99,99,0,2046,3884
100,100,0,2046,4077
101,101,0,2046,3678
102,102,0,2046,2803
103,103,0,2046,1707
104,104,0,2046,706
105,105,0,2046,92
106,106,0,2047,43
107,107,0,2047,572
108,108,0,2046,1526
109,109,0,2047,2631
110,110,0,2046,3562
111,111,0,2047,4051
112,112,0,2046,3957
113,113,0,2047,3305
114,114,0,2046,2286
115,115,0,2046,1196
116,116,0,2046,349
117,117,0,2046,0
118,118,0,2046,230
119,119,0,2046,992
120,120,0,2046,2057
121,121,0,2047,3117
122,122,0,2047,3863
123,123,0,2046,4081
124,124,0,2046,3705
125,125,0,2046,2846
126,126,0,2046,1752
127,127,0,2047,741
128,128,0,2047,107
129,129,0,2046,33
130,130,0,2046,540
131,131,0,2046,1482
132,132,0,2047,2586
133,133,0,2046,3530
134,134,0,2047,4042
135,135,0,2046,3972
136,136,0,2047,3341
137,137,0,2046,2332
138,138,0,2047,1238
139,139,0,2047,376
140,140,0,2046,0
141,141,0,2046,209
142,142,0,2047,952
143,143,0,2046,2011
144,144,0,2047,3076
145,145,0,2046,3842
146,146,0,2047,4084
147,147,0,2046,3732
148,148,0,2046,2889
149,149,0,2046,1798
150,150,0,2046,779
151,151,0,2046,123
152,152,0,2046,24
153,153,0,2046,509
154,154,0,2046,1438
155,155,0,2046,2541
156,156,0,2047,3498
157,157,0,2046,4032
158,158,0,2046,3987
159,159,0,2046,3376
160,160,0,2047,2379
161,161,0,2046,1281
162,162,0,2047,404
163,163,0,2045,1
164,164,0,2047,188
165,165,0,2047,913
166,166,0,2046,1965
167,167,0,2046,3036
168,168,0,2047,3820
