Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,3881
1,1,0,2046,4074
2,2,0,2046,3661
3,3,0,2046,2764
4,4,0,2047,1650
5,5,0,2046,653
6,6,0,2047,68
7,7,0,2047,70
8,8,0,2046,659
9,9,0,2047,1659
10,10,0,2047,2772
11,11,0,2046,3667
12,12,0,2046,4076
13,13,0,2046,3877
14,14,0,2046,3132
15,15,0,2047,2060
16,16,0,2046,982
17,17,0,2046,218
18,18,0,2046,0
19,19,0,2047,385
20,20,0,2046,1265
21,21,0,2045,2375
22,22,0,2046,3385
23,23,0,2046,3995
24,24,0,2047,4020
25,25,0,2046,3455
26,26,0,2046,2468
27,27,0,2046,1353
28,28,0,2046,442
29,29,0,2047,6
30,30,0,2047,176
31,31,0,2047,902
32,32,0,2046,1965
33,33,0,2046,3051
34,34,0,2046,3835
35,35,0,2046,4083
36,36,0,2046,3722
37,37,0,2046,2859
38,38,0,2046,1751
39,39,0,2047,730
40,40,0,2047,98
41,41,0,2047,45
42,42,0,2046,585
43,43,0,2047,1558
44,44,0,2046,2674
45,45,0,2046,3602
46,46,0,2046,4063
47,47,0,2047,3921
48,48,0,2046,3217
49,49,0,2047,2163
50,50,0,2046,1071
51,51,0,2046,267
52,52,0,2047,0
53,53,0,2047,326
54,54,0,2046,1170
55,55,0,2047,2274
56,56,0,2046,3307
57,57,0,2047,3962
58,58,0,2047,4044
59,59,0,2046,3528
60,60,0,2046,2568
61,61,0,2046,1450
62,62,0,2046,508
63,63,0,2047,22
64,64,0,2046,136
65,65,0,2046,818
66,66,0,2046,1862
67,67,0,2046,2959
68,68,0,2046,3782
69,69,0,2046,4086
70,70,0,2047,3778
71,71,0,2047,2952
72,72,0,2047,1854
73,73,0,2047,811
74,74,0,2046,134
75,75,0,2046,24
76,76,0,2047,513
77,77,0,2046,1458
78,78,0,2046,2576
79,79,0,2047,3534
80,80,0,2047,4045
81,81,0,2046,3959
82,82,0,2046,3300
83,83,0,2046,2264
84,84,0,2046,1164
85,85,0,2046,322
86,86,0,2046,0
87,87,0,2047,272
88,88,0,2047,1078
89,89,0,2047,2171
90,90,0,2046,3224
91,91,0,2047,3924
92,92,0,2046,4061
93,93,0,2047,3597
94,94,0,2046,2666
95,95,0,2046,1550
96,96,0,2046,579
97,97,0,2047,42
98,98,0,2046,101
99,99,0,2046,737
100,100,0,2046,1760
101,101,0,2046,2867
102,102,0,2046,3727
103,103,0,2047,4084
104,104,0,2047,3830
105,105,0,2047,3043
106,106,0,2046,1957
107,107,0,2046,896
108,108,0,2046,174
109,109,0,2047,9
110,110,0,2047,447
111,111,0,2046,1360
112,112,0,2047,2476
113,113,0,2046,3461
114,114,0,2046,4022
115,115,0,2046,3992
116,116,0,2046,3380
117,117,0,2046,2367
118,118,0,2047,1258
119,119,0,2046,380
120,120,0,2047,0
121,121,0,2046,222
122,122,0,2046,989
123,123,0,2046,2068
124,124,0,2046,3138
125,125,0,2046,3881
126,126,0,2046,4075
127,127,0,2046,3661
128,128,0,2046,2764
129,129,0,2046,1651
130,130,0,2046,653
131,131,0,2046,68
132,132,0,2046,70
133,133,0,2046,658
134,134,0,2046,1659
135,135,0,2047,2772
136,136,0,2046,3666
137,137,0,2046,4075
138,138,0,2046,3878
139,139,0,2047,3132
140,140,0,2047,2060
141,141,0,2046,982
142,142,0,2046,219
143,143,0,2046,0
144,144,0,2047,384
145,145,0,2047,1264
146,146,0,2047,2375
147,147,0,2046,3385
148,148,0,2046,3994
149,149,0,2046,4021
150,150,0,2046,3456
151,151,0,2046,2468
152,152,0,2047,1354
153,153,0,2046,442
154,154,0,2046,7
155,155,0,2047,177
156,156,0,2047,901
157,157,0,2046,1965
158,158,0,2047,3051
159,159,0,2047,3834
160,160,0,2046,4082
161,161,0,2046,3722
162,162,0,2046,2860
163,163,0,2046,1752
164,164,0,2046,731
165,165,0,2047,99
166,166,0,2047,45
167,167,0,2046,584
168,168,0,2046,1557
169,169,0,2047,2674
170,170,0,2046,3601
171,171,0,2046,4062
172,172,0,2046,3921
173,173,0,2046,3217
174,174,0,2047,2164
175,175,0,2046,1071
176,176,0,2047,268
177,177,0,2046,0
178,178,0,2047,325
179,179,0,2047,1169
180,180,0,2046,2273
181,181,0,2047,3306
182,182,0,2046,3961
183,183,0,2047,4044
184,184,0,2046,3528
185,185,0,2046,2569
186,186,0,2046,1452
187,187,0,2046,510
188,188,0,2046,23
189,189,0,2047,136
190,190,0,2046,817
191,191,0,2046,1862
192,192,0,2046,2959
193,193,0,2046,3782
194,194,0,2047,4086
195,195,0,2047,3778
196,196,0,2047,2953
197,197,0,2046,1854
198,198,0,2045,811
199,199,0,2047,134
200,200,0,2046,24
201,201,0,2047,514
202,202,0,2047,1458
203,203,0,2046,2575
204,204,0,2046,3533
205,205,0,2046,4045
206,206,0,2046,3959
207,207,0,2046,3300
208,208,0,2047,2265
209,209,0,2047,1164
210,210,0,2047,322
211,211,0,2046,0
212,212,0,2046,272
213,213,0,2046,1077
214,214,0,2045,2170
215,215,0,2047,3223
216,216,0,2047,3923
217,217,0,2046,4061
218,218,0,2046,3597
219,219,0,2046,2668
220,220,0,2046,1550
221,221,0,2046,579
222,222,0,2047,43
223,223,0,2047,100
224,224,0,2046,736
225,225,0,2046,1760
226,226,0,2046,2866
227,227,0,2046,3726
228,228,0,2047,4083
229,229,0,2046,3831
230,230,0,2046,3045
231,231,0,2047,1958
232,232,0,2046,896
233,233,0,2047,174
234,234,0,2046,8
235,235,0,2047,447
236,236,0,2046,1360
237,237,0,2046,2475
238,238,0,2047,3461
239,239,0,2046,4022
240,240,0,2046,3992
241,241,0,2046,3381
242,242,0,2046,2368
243,243,0,2047,1258
244,244,0,2046,381
245,245,0,2047,0
246,246,0,2046,222
247,247,0,2046,988
248,248,0,2047,2067
249,249,0,2047,3138
250,250,0,2046,3881
251,251,0,2047,4074
252,252,0,2046,3662
253,253,0,2047,2765
254,254,0,2046,1651
255,255,0,2047,654
256,256,0,2046,68
257,257,0,2046,69
258,258,0,2047,658
259,259,0,2046,1658
260,260,0,2047,2771
261,261,0,2047,3666
262,262,0,2046,4075
263,263,0,2046,3878
264,264,0,2046,3133
265,265,0,2046,2061
266,266,0,2046,983
267,267,0,2047,219
268,268,0,2047,0
269,269,0,2047,384
270,270,0,2046,1264
271,271,0,2047,2374
272,272,0,2046,3385
273,273,0,2046,3995
274,274,0,2046,4020
275,275,0,2046,3456
276,276,0,2046,2469
277,277,0,2046,1355
278,278,0,2046,443
279,279,0,2046,7
280,280,0,2046,176
281,281,0,2046,901
282,282,0,2046,1964
283,283,0,2046,3050
284,284,0,2046,3834
285,285,0,2047,4082
286,286,0,2047,3722
287,287,0,2046,2860
288,288,0,2046,1753
289,289,0,2046,731
290,290,0,2046,99
291,291,0,2046,43
292,292,0,2046,584
293,293,0,2046,1557
294,294,0,2046,2673
295,295,0,2046,3601
296,296,0,2047,4063
297,297,0,2046,3921
298,298,0,2047,3219
299,299,0,2047,2164
300,300,0,2047,1072
301,301,0,2046,268
302,302,0,2047,0
303,303,0,2047,325
304,304,0,2047,1169
305,305,0,2047,2273
306,306,0,2047,3306
307,307,0,2046,3961
308,308,0,2047,4044
309,309,0,2047,3529
310,310,0,2046,2569
311,311,0,2046,1452
312,312,0,2047,510
313,313,0,2046,23
314,314,0,2046,136
315,315,0,2046,817
316,316,0,2047,1861
317,317,0,2047,2959
318,318,0,2046,3782
319,319,0,2047,4085
320,320,0,2046,3779
321,321,0,2047,2954
322,322,0,2047,1855
