Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,1438
1,1,0,2047,1710
2,2,0,2046,1988
3,3,0,2046,2267
4,4,0,2046,2541
5,5,0,2046,2806
6,6,0,2047,3058
7,7,0,2047,3291
8,8,0,2046,3502
9,9,0,2047,3686
10,10,0,2046,3841
11,11,0,2046,3964
12,12,0,2047,4052
13,13,0,2046,4095
14,14,0,2047,4095
15,15,0,2046,4095
16,16,0,2047,4038
17,17,0,2047,3944
18,18,0,2046,3815
19,19,0,2047,3654
20,20,0,2046,3465
21,21,0,2047,3249
22,22,0,2047,3012
23,23,0,2046,2758
24,24,0,2046,2490
25,25,0,2047,2213
26,26,0,2047,1935
27,27,0,2046,1657
28,28,0,2046,1386
29,29,0,2047,1127
30,30,0,2047,884
31,31,0,2047,662
32,32,0,2046,464
33,33,0,2047,295
34,34,0,2047,157
35,35,0,2046,54
36,36,0,2046,0
37,37,0,2046,0
38,38,0,2046,0
39,39,0,2047,5
40,40,0,2046,86
41,41,0,2046,201
42,42,0,2047,350
43,43,0,2046,529
44,44,0,2046,734
45,45,0,2046,964
46,46,0,2046,1212
47,47,0,2046,1476
48,48,0,2047,1749
49,49,0,2046,2027
50,50,0,2046,2305
51,51,0,2046,2578
52,52,0,2046,2842
53,53,0,2047,3092
54,54,0,2046,3322
55,55,0,2046,3529
56,56,0,2046,3710
57,57,0,2046,3861
58,58,0,2046,3978
59,59,0,2046,4062
60,60,0,2046,4095
61,61,0,2047,4095
62,62,0,2047,4091
63,63,0,2047,4027
64,64,0,2047,3928
65,65,0,2046,3794
66,66,0,2046,3631
67,67,0,2047,3436
68,68,0,2046,3217
69,69,0,2047,2977
70,70,0,2047,2721
71,71,0,2046,2452
72,72,0,2047,2174
73,73,0,2046,1896
74,74,0,2046,1619
75,75,0,2046,1349
76,76,0,2046,1092
77,77,0,2046,851
78,78,0,2046,632
79,79,0,2047,439
80,80,0,2047,273
81,81,0,2046,140
82,82,0,2046,42
83,83,0,2046,0
84,84,0,2046,0
85,85,0,2046,0
86,86,0,2046,14
87,87,0,2046,99
88,88,0,2047,220
89,89,0,2047,373
90,90,0,2047,556
91,91,0,2047,765
92,92,0,2047,997
93,93,0,2046,1248
94,94,0,2047,1513
95,95,0,2047,1787
96,96,0,2046,2065
97,97,0,2047,2344
98,98,0,2047,2616
99,99,0,2047,2877
100,100,0,2046,3125
101,101,0,2046,3352
102,102,0,2046,3557
103,103,0,2046,3733
104,104,0,2046,3879
105,105,0,2047,3991
106,106,0,2047,4071
107,107,0,2046,4095
108,108,0,2046,4095
109,109,0,2047,4085
110,110,0,2046,4016
111,111,0,2046,3911
112,112,0,2046,3773
113,113,0,2046,3604
114,114,0,2046,3407
115,115,0,2047,3185
116,116,0,2047,2943
117,117,0,2046,2684
118,118,0,2046,2414
119,119,0,2047,2136
120,120,0,2047,1857
121,121,0,2046,1580
122,122,0,2046,1312
123,123,0,2046,1057
124,124,0,2047,819
125,125,0,2047,604
126,126,0,2046,414
127,127,0,2046,254
128,128,0,2046,125
129,129,0,2046,31
130,130,0,2046,0
131,131,0,2047,0
132,132,0,2047,0
133,133,0,2046,24
134,134,0,2046,114
135,135,0,2045,240
136,136,0,2047,396
137,137,0,2047,583
138,138,0,2047,796
139,139,0,2046,1032
140,140,0,2046,1285
141,141,0,2046,1550
142,142,0,2046,1826
143,143,0,2046,2105
144,144,0,2046,2382
145,145,0,2046,2653
146,146,0,2046,2913
147,147,0,2047,3158
148,148,0,2046,3382
149,149,0,2047,3583
150,150,0,2047,3754
151,151,0,2046,3898
152,152,0,2047,4005
153,153,0,2046,4079
154,154,0,2046,4095
155,155,0,2046,4095
156,156,0,2047,4077
157,157,0,2046,4003
158,158,0,2046,3894
159,159,0,2047,3751
160,160,0,2047,3579
161,161,0,2047,3378
162,162,0,2046,3152
163,163,0,2046,2907
164,164,0,2046,2646
165,165,0,2046,2375
166,166,0,2046,2097
167,167,0,2046,1818
168,168,0,2047,1543
169,169,0,2047,1276
170,170,0,2046,1023
171,171,0,2046,788
172,172,0,2046,576
173,173,0,2046,389
174,174,0,2046,233
175,175,0,2046,109
176,176,0,2046,21
177,177,0,2046,0
178,178,0,2046,0
179,179,0,2047,0
180,180,0,2046,34
181,181,0,2047,129
182,182,0,2047,260
183,183,0,2047,421
184,184,0,2046,611
185,185,0,2047,828
186,186,0,2047,1066
187,187,0,2047,1321
188,188,0,2047,1589
189,189,0,2046,1865
190,190,0,2047,2144
191,191,0,2046,2420
192,192,0,2046,2690
193,193,0,2047,2948
194,194,0,2046,3190
195,195,0,2046,3411
196,196,0,2047,3608
197,197,0,2047,3777
198,198,0,2047,3914
199,199,0,2047,4018
200,200,0,2046,4086
201,201,0,2046,4095
202,202,0,2046,4095
203,203,0,2046,4069
204,204,0,2047,3990
205,205,0,2046,3876
206,206,0,2047,3730
207,207,0,2047,3552
208,208,0,2047,3348
209,209,0,2047,3119
210,210,0,2047,2871
211,211,0,2047,2609
212,212,0,2046,2336
213,213,0,2046,2058
214,214,0,2046,1779
215,215,0,2046,1504
216,216,0,2047,1239
217,217,0,2047,989
218,218,0,2046,757
219,219,0,2047,548
220,220,0,2047,366
221,221,0,2047,214
222,222,0,2047,95
223,223,0,2047,10
224,224,0,2046,0
225,225,0,2047,0
226,226,0,2047,0
227,227,0,2047,45
228,228,0,2046,145
229,229,0,2047,280
230,230,0,2047,446
231,231,0,2046,640
232,232,0,2047,860
233,233,0,2047,1100
234,234,0,2046,1358
235,235,0,2046,1626
236,236,0,2046,1902
237,237,0,2047,2182
238,238,0,2046,2458
239,239,0,2046,2727
240,240,0,2046,2983
241,241,0,2047,3222
242,242,0,2047,3441
243,243,0,2047,3633
244,244,0,2046,3798
245,245,0,2047,3931
246,246,0,2046,4029
247,247,0,2046,4092
248,248,0,2047,4095
249,249,0,2047,4095
250,250,0,2047,4060
251,251,0,2046,3977
252,252,0,2046,3858
253,253,0,2047,3707
254,254,0,2047,3525
255,255,0,2047,3317
256,256,0,2046,3086
257,257,0,2047,2836
258,258,0,2046,2572
259,259,0,2046,2298
260,260,0,2046,2020
261,261,0,2046,1740
262,262,0,2047,1467
263,263,0,2047,1204
264,264,0,2046,955
265,265,0,2047,727
266,266,0,2046,521
267,267,0,2047,343
268,268,0,2047,195
269,269,0,2047,81
270,270,0,2046,2
271,271,0,2047,0
272,272,0,2046,0
273,273,0,2046,0
274,274,0,2046,57
275,275,0,2046,162
276,276,0,2046,301
277,277,0,2046,471
278,278,0,2046,669
279,279,0,2046,893
280,280,0,2046,1136
281,281,0,2046,1394
282,282,0,2047,1665
283,283,0,2046,1943
284,284,0,2046,2221
285,285,0,2047,2496
286,286,0,2046,2764
287,287,0,2047,3018
288,288,0,2046,3255
289,289,0,2047,3469
290,290,0,2046,3657
291,291,0,2046,3818
292,292,0,2047,3947
293,293,0,2046,4040
294,294,0,2046,4095
295,295,0,2046,4095
296,296,0,2046,4095
297,297,0,2046,4050
298,298,0,2047,3962
299,299,0,2047,3839
300,300,0,2046,3682
301,301,0,2046,3497
302,302,0,2046,3286
303,303,0,2047,3052
304,304,0,2046,2800
305,305,0,2046,2534
306,306,0,2047,2259
307,307,0,2046,1980
308,308,0,2047,1702
309,309,0,2047,1429
310,310,0,2046,1168
311,311,0,2046,922
312,312,0,2047,696
313,313,0,2047,495
314,314,0,2047,320
315,315,0,2047,178
316,316,0,2047,68
317,317,0,2047,0
318,318,0,2047,0
319,319,0,2046,0
320,320,0,2047,0
321,321,0,2046,70
322,322,0,2046,179
323,323,0,2047,323
324,324,0,2046,497
325,325,0,2047,699
326,326,0,2047,925
327,327,0,2047,1171
328,328,0,2046,1432
329,329,0,2046,1703
330,330,0,2046,1982
331,331,0,2047,2260
332,332,0,2046,2535
333,333,0,2046,2800
334,334,0,2046,3052
335,335,0,2046,3286
336,336,0,2047,3497
337,337,0,2047,3682
338,338,0,2046,3839
339,339,0,2046,3962
340,340,0,2047,4050
341,341,0,2046,4095
342,342,0,2046,4095
343,343,0,2046,4095
344,344,0,2047,4041
345,345,0,2046,3946
346,346,0,2046,3818
347,347,0,2046,3659
348,348,0,2046,3470
349,349,0,2046,3255
350,350,0,2046,3018
351,351,0,2047,2764
352,352,0,2047,2496
353,353,0,2047,2220
354,354,0,2047,1941
355,355,0,2046,1664
356,356,0,2047,1392
357,357,0,2046,1132
358,358,0,2047,889
359,359,0,2047,667
360,360,0,2046,469
361,361,0,2046,298
362,362,0,2047,160
363,363,0,2046,55
364,364,0,2047,0
365,365,0,2047,0
366,366,0,2047,0
367,367,0,2046,3
368,368,0,2047,83
369,369,0,2046,198
370,370,0,2046,346
371,371,0,2046,524
372,372,0,2047,729
373,373,0,2046,958
374,374,0,2047,1207
375,375,0,2047,1470
376,376,0,2047,1742
377,377,0,2046,2020
378,378,0,2047,2299
379,379,0,2046,2572
380,380,0,2046,2836
381,381,0,2046,3086
382,382,0,2046,3317
383,383,0,2046,3525
384,384,0,2046,3706
385,385,0,2047,3857
386,386,0,2046,3976
387,387,0,2047,4060
388,388,0,2047,4095
389,389,0,2046,4095
390,390,0,2046,4092
391,391,0,2047,4029
392,392,0,2046,3931
393,393,0,2047,3798
394,394,0,2046,3633
395,395,0,2046,3441
396,396,0,2046,3222
397,397,0,2047,2983
398,398,0,2047,2728
399,399,0,2046,2458
400,400,0,2047,2182
401,401,0,2046,1902
402,402,0,2047,1625
403,403,0,2047,1355
404,404,0,2047,1099
405,405,0,2047,857
406,406,0,2047,638
407,407,0,2046,444
408,408,0,2046,277
409,409,0,2047,143
410,410,0,2046,43
411,411,0,2046,0
412,412,0,2046,0
413,413,0,2046,0
414,414,0,2046,13
415,415,0,2047,97
416,416,0,2047,216
417,417,0,2046,369
418,418,0,2046,552
419,419,0,2046,760
420,420,0,2046,992
421,421,0,2047,1242
422,422,0,2046,1507
423,423,0,2046,1781
424,424,0,2046,2060
425,425,0,2047,2338
426,426,0,2046,2610
427,427,0,2046,2872
428,428,0,2047,3119
429,429,0,2047,3347
430,430,0,2046,3551
431,431,0,2046,3729
432,432,0,2046,3876
433,433,0,2046,3990
434,434,0,2047,4069
435,435,0,2046,4095
436,436,0,2046,4095
437,437,0,2046,4086
438,438,0,2047,4017
439,439,0,2047,3914
440,440,0,2046,3776
441,441,0,2046,3608
442,442,0,2046,3412
443,443,0,2046,3190
444,444,0,2046,2948
445,445,0,2046,2690
446,446,0,2046,2419
447,447,0,2047,2142
448,448,0,2046,1863
449,449,0,2046,1586
450,450,0,2046,1318
451,451,0,2046,1063
452,452,0,2046,825
453,453,0,2046,609
454,454,0,2046,419
455,455,0,2046,256
456,456,0,2047,127
457,457,0,2046,32
458,458,0,2045,0
459,459,0,2046,0
460,460,0,2046,0
461,461,0,2046,22
462,462,0,2046,112
463,463,0,2046,236
464,464,0,2046,393
465,465,0,2047,579
466,466,0,2046,791
467,467,0,2047,1025
468,468,0,2046,1278
469,469,0,2046,1544
470,470,0,2046,1820
471,471,0,2046,2098
472,472,0,2046,2376
473,473,0,2046,2647
474,474,0,2046,2907
475,475,0,2046,3153
476,476,0,2047,3377
477,477,0,2047,3578
478,478,0,2046,3751
479,479,0,2047,3894
480,480,0,2046,4003
481,481,0,2047,4077
482,482,0,2046,4095
483,483,0,2047,4095
484,484,0,2046,4079
485,485,0,2047,4005
486,486,0,2047,3897
487,487,0,2047,3755
488,488,0,2046,3583
489,489,0,2046,3383
490,490,0,2047,3159
491,491,0,2047,2913
492,492,0,2046,2653
493,493,0,2046,2382
494,494,0,2046,2104
495,495,0,2047,1825
496,496,0,2047,1549
497,497,0,2047,1282
498,498,0,2046,1028
499,499,0,2047,793
500,500,0,2047,579
501,501,0,2047,394
502,502,0,2046,237
503,503,0,2046,112
504,504,0,2046,22
505,505,0,2047,0
506,506,0,2047,0
507,507,0,2046,0
508,508,0,2047,33
509,509,0,2047,128
510,510,0,2046,256
511,511,0,2046,417
512,512,0,2047,607
513,513,0,2045,823
514,514,0,2046,1060
515,515,0,2047,1315
516,516,0,2047,1583
517,517,0,2047,1858
518,518,0,2046,2137
519,519,0,2046,2414
520,520,0,2046,2684
521,521,0,2046,2943
522,522,0,2047,3186
523,523,0,2047,3407
524,524,0,2047,3604
525,525,0,2047,3773
526,526,0,2046,3911
527,527,0,2047,4015
528,528,0,2046,4085
529,529,0,2046,4095
530,530,0,2046,4095
531,531,0,2046,4071
532,532,0,2047,3993
533,533,0,2047,3879
534,534,0,2046,3733
535,535,0,2047,3557
536,536,0,2046,3352
537,537,0,2046,3125
538,538,0,2047,2878
539,539,0,2046,2616
540,540,0,2047,2343
541,541,0,2047,2064
542,542,0,2046,1786
543,543,0,2047,1511
544,544,0,2046,1246
545,545,0,2047,994
546,546,0,2046,762
547,547,0,2047,552
548,548,0,2046,369
549,549,0,2047,217
550,550,0,2046,97
551,551,0,2046,13
552,552,0,2047,0
553,553,0,2046,0
554,554,0,2046,0
555,555,0,2047,43
556,556,0,2047,142
557,557,0,2046,276
558,558,0,2046,442
559,559,0,2047,635
560,560,0,2046,854
561,561,0,2047,1094
562,562,0,2047,1351
563,563,0,2046,1620
564,564,0,2047,1896
565,565,0,2046,2176
566,566,0,2047,2452
567,567,0,2047,2721
568,568,0,2047,2977
569,569,0,2046,3218
570,570,0,2046,3436
571,571,0,2046,3629
572,572,0,2046,3794
573,573,0,2046,3929
574,574,0,2047,4027
575,575,0,2046,4091
576,576,0,2047,4095
577,577,0,2046,4095
578,578,0,2047,4062
579,579,0,2046,3979
580,580,0,2046,3861
581,581,0,2046,3710
582,582,0,2046,3529
583,583,0,2046,3323
584,584,0,2046,3092
585,585,0,2046,2842
586,586,0,2046,2579
587,587,0,2046,2305
588,588,0,2046,2026
589,589,0,2047,1747
590,590,0,2046,1473
591,591,0,2046,1210
592,592,0,2046,961
593,593,0,2046,731
594,594,0,2046,525
595,595,0,2046,347
596,596,0,2047,198
597,597,0,2046,84
598,598,0,2047,3
599,599,0,2046,0
600,600,0,2046,0
601,601,0,2046,0
602,602,0,2046,55
603,603,0,2046,160
604,604,0,2046,298
605,605,0,2047,466
606,606,0,2047,665
607,607,0,2047,887
608,608,0,2046,1129
609,609,0,2046,1389
610,610,0,2046,1659
611,611,0,2046,1936
612,612,0,2046,2215
613,613,0,2046,2491
614,614,0,2046,2757
615,615,0,2046,3012
616,616,0,2046,3249
617,617,0,2046,3464
618,618,0,2046,3654
619,619,0,2047,3815
620,620,0,2046,3944
621,621,0,2046,4038
622,622,0,2047,4095
623,623,0,2047,4095
624,624,0,2047,4095
625,625,0,2046,4052
626,626,0,2047,3964
627,627,0,2046,3842
628,628,0,2046,3687
629,629,0,2047,3502
630,630,0,2046,3291
631,631,0,2046,3058
632,632,0,2047,2806
633,633,0,2047,2540
634,634,0,2047,2265
635,635,0,2046,1987
636,636,0,2046,1708
637,637,0,2046,1436
638,638,0,2047,1174
639,639,0,2045,928
640,640,0,2046,702
641,641,0,2046,498
642,642,0,2047,324
643,643,0,2047,180
644,644,0,2046,69
645,645,0,2047,0
646,646,0,2046,0
647,647,0,2046,0
648,648,0,2046,0
649,649,0,2046,68
650,650,0,2047,177
651,651,0,2047,319
652,652,0,2047,493
653,653,0,2046,694
654,654,0,2047,919
655,655,0,2046,1165
656,656,0,2046,1425
657,657,0,2047,1697
658,658,0,2047,1974
659,659,0,2046,2253
660,660,0,2046,2528
661,661,0,2046,2794
662,662,0,2046,3046
663,663,0,2046,3280
664,664,0,2046,3493
665,665,0,2046,3679
666,666,0,2047,3835
667,667,0,2046,3959
668,668,0,2047,4049
669,669,0,2047,4095
670,670,0,2046,4095
671,671,0,2047,4095
672,672,0,2046,4042
673,673,0,2047,3949
674,674,0,2047,3822
675,675,0,2045,3663
676,676,0,2046,3474
677,677,0,2046,3261
678,678,0,2046,3024
679,679,0,2047,2769
680,680,0,2046,2503
681,681,0,2046,2227
682,682,0,2047,1948
683,683,0,2046,1670
684,684,0,2047,1398
685,685,0,2047,1139
686,686,0,2046,895
687,687,0,2046,671
688,688,0,2046,473
689,689,0,2046,303
690,690,0,2047,163
691,691,0,2046,57
692,692,0,2047,0
693,693,0,2047,0
694,694,0,2046,0
695,695,0,2047,2
696,696,0,2046,81
697,697,0,2047,195
698,698,0,2047,342
699,699,0,2047,520
700,700,0,2046,725
701,701,0,2047,953
702,702,0,2047,1200
703,703,0,2047,1463
704,704,0,2047,1736
705,705,0,2047,2014
706,706,0,2046,2292
707,707,0,2047,2566
708,708,0,2046,2830
709,709,0,2046,3081
710,710,0,2046,3312
711,711,0,2047,3519
712,712,0,2047,3702
713,713,0,2047,3855
714,714,0,2045,3974
715,715,0,2046,4059
716,716,0,2046,4095
717,717,0,2046,4095
718,718,0,2046,4094
719,719,0,2046,4031
720,720,0,2047,3933
721,721,0,2046,3802
722,722,0,2046,3638
723,723,0,2046,3446
724,724,0,2046,3228
725,725,0,2047,2989
726,726,0,2046,2734
727,727,0,2047,2465
728,728,0,2046,2188
729,729,0,2046,1909
730,730,0,2046,1631
731,731,0,2047,1361
732,732,0,2046,1104
733,733,0,2047,863
734,734,0,2046,642
735,735,0,2046,447
736,736,0,2047,281
737,737,0,2047,146
738,738,0,2046,46
739,739,0,2046,0
740,740,0,2047,0
741,741,0,2046,0
742,742,0,2046,11
743,743,0,2046,95
744,744,0,2046,213
745,745,0,2046,365
746,746,0,2047,546
747,747,0,2046,755
748,748,0,2047,985
749,749,0,2047,1236
750,750,0,2046,1500
751,751,0,2046,1774
752,752,0,2046,2052
753,753,0,2046,2330
754,754,0,2046,2603
755,755,0,2046,2866
756,756,0,2046,3114
757,757,0,2046,3341
758,758,0,2047,3547
759,759,0,2046,3724
760,760,0,2046,3874
761,761,0,2046,3988
762,762,0,2046,4068
763,763,0,2046,4095
764,764,0,2046,4095
765,765,0,2046,4087
766,766,0,2046,4019
767,767,0,2046,3917
768,768,0,2046,3780
769,769,0,2046,3613
770,770,0,2046,3416
771,771,0,2046,3196
772,772,0,2046,2954
773,773,0,2046,2697
774,774,0,2046,2427
775,775,0,2046,2149
776,776,0,2046,1869
777,777,0,2047,1593
778,778,0,2046,1326
779,779,0,2047,1069
780,780,0,2046,830
781,781,0,2047,613
782,782,0,2046,423
783,783,0,2047,260
784,784,0,2046,129
785,785,0,2046,34
786,786,0,2047,0
787,787,0,2047,0
788,788,0,2047,0
789,789,0,2046,20
790,790,0,2046,109
791,791,0,2046,233
792,792,0,2046,388
793,793,0,2047,574
794,794,0,2046,786
795,795,0,2046,1019
796,796,0,2046,1271
797,797,0,2046,1538
798,798,0,2046,1813
799,799,0,2046,2091
800,800,0,2046,2369
801,801,0,2046,2640
802,802,0,2047,2901
803,803,0,2046,3147
804,804,0,2046,3373
805,805,0,2046,3573
806,806,0,2047,3748
807,807,0,2046,3892
808,808,0,2047,4001
809,809,0,2046,4076
810,810,0,2046,4095
811,811,0,2047,4095
812,812,0,2046,4080
813,813,0,2046,4007
814,814,0,2046,3900
815,815,0,2046,3759
816,816,0,2047,3588
817,817,0,2047,3387
818,818,0,2046,3164
819,819,0,2047,2919
820,820,0,2046,2659
821,821,0,2046,2388
822,822,0,2046,2110
823,823,0,2047,1831
824,824,0,2046,1555
825,825,0,2047,1289
826,826,0,2047,1034
827,827,0,2047,798
828,828,0,2046,585
829,829,0,2047,398
830,830,0,2046,240
831,831,0,2047,114
832,832,0,2046,23
833,833,0,2047,0
834,834,0,2047,0
835,835,0,2046,0
836,836,0,2047,30
837,837,0,2047,125
838,838,0,2046,253
839,839,0,2047,412
840,840,0,2046,602
841,841,0,2046,817
842,842,0,2046,1054
843,843,0,2047,1309
844,844,0,2047,1576
845,845,0,2047,1851
846,846,0,2046,2130
847,847,0,2047,2407
848,848,0,2046,2678
849,849,0,2046,2937
850,850,0,2046,3180
851,851,0,2046,3402
852,852,0,2046,3599
853,853,0,2046,3770
854,854,0,2046,3908
855,855,0,2046,4013
856,856,0,2047,4084
857,857,0,2046,4095
858,858,0,2046,4095
859,859,0,2046,4072
860,860,0,2047,3994
861,861,0,2047,3882
862,862,0,2046,3737
863,863,0,2047,3561
864,864,0,2047,3357
865,865,0,2047,3131
866,866,0,2047,2884
867,867,0,2046,2622
868,868,0,2046,2349
869,869,0,2046,2071
870,870,0,2046,1792
871,871,0,2045,1516
872,872,0,2046,1252
873,873,0,2046,1000
874,874,0,2046,768
875,875,0,2046,557
876,876,0,2047,374
877,877,0,2046,221
878,878,0,2047,100
879,879,0,2047,14
880,880,0,2046,0
881,881,0,2046,0
882,882,0,2046,0
883,883,0,2046,42
884,884,0,2047,140
885,885,0,2047,273
886,886,0,2047,437
887,887,0,2046,631
888,888,0,2046,849
889,889,0,2046,1088
890,890,0,2047,1345
891,891,0,2046,1614
892,892,0,2047,1891
893,893,0,2046,2169
894,894,0,2046,2445
895,895,0,2046,2715
896,896,0,2046,2972
897,897,0,2046,3212
898,898,0,2046,3432
899,899,0,2046,3625
900,900,0,2047,3790
901,901,0,2047,3926
902,902,0,2047,4026
903,903,0,2046,4091
904,904,0,2047,4095
905,905,0,2047,4095
906,906,0,2046,4063
907,907,0,2047,3981
908,908,0,2047,3864
909,909,0,2046,3714
910,910,0,2046,3534
911,911,0,2047,3327
912,912,0,2047,3097
913,913,0,2046,2848
914,914,0,2046,2584
915,915,0,2047,2311
916,916,0,2046,2032
917,917,0,2046,1753
918,918,0,2046,1479
919,919,0,2046,1215
920,920,0,2047,967
921,921,0,2047,737
922,922,0,2046,530
923,923,0,2047,351
924,924,0,2046,202
925,925,0,2047,86
926,926,0,2046,5
927,927,0,2047,0
928,928,0,2046,0
929,929,0,2046,0
930,930,0,2046,53
931,931,0,2046,157
932,932,0,2046,294
933,933,0,2047,462
934,934,0,2046,659
935,935,0,2046,882
936,936,0,2046,1124
937,937,0,2047,1382
938,938,0,2047,1653
939,939,0,2046,1930
940,940,0,2047,2208
941,941,0,2047,2484
942,942,0,2046,2752
943,943,0,2047,3007
944,944,0,2047,3244
945,945,0,2046,3460
946,946,0,2047,3650
947,947,0,2046,3812
948,948,0,2047,3941
949,949,0,2047,4036
950,950,0,2046,4095
951,951,0,2047,4095
952,952,0,2046,4095
953,953,0,2046,4055
954,954,0,2046,3967
955,955,0,2046,3845
956,956,0,2047,3691
957,957,0,2046,3507
958,958,0,2047,3297
959,959,0,2047,3064
960,960,0,2047,2812
961,961,0,2046,2547
962,962,0,2046,2272
963,963,0,2046,1994
964,964,0,2046,1715
965,965,0,2046,1442
966,966,0,2046,1180
967,967,0,2046,933
968,968,0,2046,706
969,969,0,2047,503
970,970,0,2047,328
971,971,0,2047,183
972,972,0,2047,72
973,973,0,2047,0
974,974,0,2046,0
975,975,0,2046,0
976,976,0,2046,0
977,977,0,2047,65
978,978,0,2046,173
979,979,0,2047,315
980,980,0,2047,488
981,981,0,2047,688
982,982,0,2046,914
983,983,0,2047,1158
984,984,0,2046,1419
985,985,0,2047,1691
986,986,0,2047,1968
987,987,0,2047,2247
988,988,0,2046,2521
989,989,0,2046,2787
990,990,0,2046,3041
991,991,0,2047,3275
992,992,0,2046,3488
993,993,0,2046,3674
994,994,0,2047,3832
995,995,0,2047,3957
996,996,0,2046,4047
997,997,0,2047,4095
998,998,0,2047,4095
999,999,0,2047,4095
1000,1000,0,2046,4044
1001,1001,0,2046,3952
1002,1002,0,2047,3825
1003,1003,0,2046,3666
1004,1004,0,2046,3479
1005,1005,0,2046,3265
1006,1006,0,2047,3029
1007,1007,0,2047,2776
1008,1008,0,2046,2509
1009,1009,0,2046,2233
1010,1010,0,2047,1954
1011,1011,0,2046,1676
1012,1012,0,2047,1405
1013,1013,0,2047,1145
1014,1014,0,2047,900
1015,1015,0,2046,677
1016,1016,0,2047,477
1017,1017,0,2046,306
1018,1018,0,2047,165
1019,1019,0,2047,60
1020,1020,0,2046,0
1021,1021,0,2047,0
1022,1022,0,2047,0
1023,1023,0,2047,1
1024,1024,0,2047,78
1025,1025,0,2047,192
1026,1026,0,2046,339
1027,1027,0,2046,516
1028,1028,0,2047,719
1029,1029,0,2047,947
1030,1030,0,2046,1195
1031,1031,0,2047,1457
1032,1032,0,2046,1728
1033,1033,0,2047,2007
