Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,3750
1,1,0,2046,2327
2,2,0,2046,342
3,3,0,2046,1666
4,4,0,2046,3717
5,5,0,2046,2496
6,6,0,2046,385
7,7,0,2047,1498
8,8,0,2046,3667
9,9,0,2047,2662
10,10,0,2046,442
11,11,0,2046,1336
12,12,0,2047,3600
13,13,0,2047,2820
14,14,0,2046,517
15,15,0,2047,1180
16,16,0,2046,3517
17,17,0,2046,2970
18,18,0,2047,608
19,19,0,2046,1035
20,20,0,2046,3420
21,21,0,2047,3112
22,22,0,2046,711
23,23,0,2046,899
24,24,0,2046,3310
25,25,0,2046,3243
26,26,0,2047,829
27,27,0,2046,773
28,28,0,2046,3185
29,29,0,2047,3361
30,30,0,2046,959
31,31,0,2046,661
32,32,0,2046,3049
33,33,0,2047,3466
34,34,0,2046,1100
35,35,0,2046,564
36,36,0,2046,2903
37,37,0,2047,3557
38,38,0,2047,1251
39,39,0,2046,481
40,40,0,2046,2749
41,41,0,2046,3632
42,42,0,2046,1409
43,43,0,2046,413
44,44,0,2047,2587
45,45,0,2047,3691
46,46,0,2047,1574
47,47,0,2047,362
48,48,0,2047,2419
49,49,0,2047,3734
50,50,0,2047,1743
51,51,0,2047,328
52,52,0,2046,2249
53,53,0,2047,3760
54,54,0,2047,1916
55,55,0,2047,312
56,56,0,2046,2075
57,57,0,2046,3767
58,58,0,2046,2089
59,59,0,2046,313
60,60,0,2046,1902
61,61,0,2047,3758
62,62,0,2046,2262
63,63,0,2047,331
64,64,0,2046,1729
65,65,0,2046,3731
66,66,0,2046,2433
67,67,0,2047,366
68,68,0,2046,1560
69,69,0,2046,3687
70,70,0,2046,2600
71,71,0,2047,418
72,72,0,2046,1396
73,73,0,2047,3627
74,74,0,2046,2761
75,75,0,2047,487
76,76,0,2046,1238
77,77,0,2046,3550
78,78,0,2047,2916
79,79,0,2047,571
80,80,0,2046,1088
81,81,0,2047,3458
82,82,0,2046,3060
83,83,0,2047,670
84,84,0,2046,948
85,85,0,2046,3351
86,86,0,2047,3195
87,87,0,2046,783
88,88,0,2046,819
89,89,0,2047,3232
90,90,0,2047,3319
91,91,0,2046,909
92,92,0,2046,702
93,93,0,2047,3101
94,94,0,2046,3429
95,95,0,2047,1046
96,96,0,2047,598
97,97,0,2046,2958
98,98,0,2047,3525
99,99,0,2047,1193
100,100,0,2046,510
101,101,0,2047,2807
102,102,0,2046,3607
103,103,0,2046,1349
104,104,0,2046,436
105,105,0,2047,2648
106,106,0,2047,3672
107,107,0,2047,1511
108,108,0,2046,380
109,109,0,2046,2483
110,110,0,2047,3720
111,111,0,2046,1680
112,112,0,2046,339
113,113,0,2047,2312
114,114,0,2046,3752
115,115,0,2046,1851
116,116,0,2046,316
117,117,0,2047,2140
118,118,0,2047,3767
119,119,0,2047,2025
120,120,0,2046,310
121,121,0,2047,1965
122,122,0,2046,3763
123,123,0,2047,2199
124,124,0,2046,322
125,125,0,2047,1793
126,126,0,2046,3743
127,127,0,2047,2370
128,128,0,2046,351
129,129,0,2047,1623
130,130,0,2047,3706
131,131,0,2046,2539
132,132,0,2046,397
133,133,0,2047,1456
134,134,0,2046,3651
135,135,0,2047,2702
136,136,0,2047,460
137,137,0,2046,1296
138,138,0,2046,3580
139,139,0,2047,2859
140,140,0,2046,539
141,141,0,2046,1143
142,142,0,2046,3495
143,143,0,2046,3007
144,144,0,2046,633
145,145,0,2046,999
146,146,0,2047,3393
147,147,0,2046,3147
148,148,0,2046,740
149,149,0,2046,865
150,150,0,2046,3278
151,151,0,2047,3275
152,152,0,2047,861
153,153,0,2046,744
154,154,0,2046,3152
155,155,0,2047,3389
156,156,0,2046,994
157,157,0,2046,636
158,158,0,2047,3013
159,159,0,2047,3490
160,160,0,2047,1138
161,161,0,2046,542
162,162,0,2046,2865
163,163,0,2046,3578
164,164,0,2046,1290
165,165,0,2046,462
166,166,0,2046,2708
167,167,0,2047,3649
168,168,0,2046,1451
169,169,0,2046,399
170,170,0,2046,2545
171,171,0,2046,3704
172,172,0,2046,1617
173,173,0,2045,353
174,174,0,2046,2376
175,175,0,2046,3742
176,176,0,2046,1788
177,177,0,2046,323
178,178,0,2047,2205
179,179,0,2047,3764
180,180,0,2047,1960
181,181,0,2046,311
182,182,0,2046,2030
183,183,0,2047,3767
184,184,0,2047,2134
185,185,0,2046,316
186,186,0,2046,1857
187,187,0,2047,3753
188,188,0,2046,2306
189,189,0,2046,338
190,190,0,2046,1685
191,191,0,2047,3721
192,192,0,2047,2477
193,193,0,2047,378
194,194,0,2046,1518
195,195,0,2046,3673
196,196,0,2046,2642
197,197,0,2046,435
198,198,0,2047,1355
199,199,0,2047,3608
200,200,0,2046,2802
201,201,0,2046,507
202,202,0,2047,1199
203,203,0,2047,3529
204,204,0,2047,2953
205,205,0,2046,595
206,206,0,2046,1051
207,207,0,2046,3432
208,208,0,2047,3096
209,209,0,2046,698
210,210,0,2047,913
211,211,0,2047,3322
212,212,0,2047,3228
213,213,0,2047,815
214,214,0,2045,787
215,215,0,2046,3200
216,216,0,2046,3348
217,217,0,2047,943
218,218,0,2046,675
219,219,0,2046,3066
220,220,0,2047,3455
221,221,0,2046,1082
222,222,0,2046,575
223,223,0,2046,2921
224,224,0,2046,3547
225,225,0,2046,1233
226,226,0,2046,490
227,227,0,2047,2767
228,228,0,2046,3625
229,229,0,2046,1390
230,230,0,2046,420
231,231,0,2046,2606
232,232,0,2046,3686
233,233,0,2047,1554
234,234,0,2046,368
235,235,0,2046,2439
236,236,0,2047,3730
237,237,0,2046,1724
238,238,0,2047,331
239,239,0,2046,2268
240,240,0,2046,3758
241,241,0,2046,1895
242,242,0,2046,313
243,243,0,2046,2096
244,244,0,2046,3768
245,245,0,2047,2069
246,246,0,2046,312
247,247,0,2047,1921
248,248,0,2047,3760
249,249,0,2046,2243
250,250,0,2046,328
251,251,0,2047,1749
252,252,0,2046,3735
253,253,0,2046,2414
254,254,0,2046,361
255,255,0,2046,1579
256,256,0,2047,3694
257,257,0,2046,2581
258,258,0,2046,412
259,259,0,2046,1414
260,260,0,2047,3635
261,261,0,2046,2744
262,262,0,2046,478
263,263,0,2047,1256
264,264,0,2046,3559
265,265,0,2046,2898
266,266,0,2046,561
267,267,0,2046,1105
268,268,0,2047,3469
269,269,0,2046,3044
270,270,0,2047,659
271,271,0,2046,963
272,272,0,2046,3365
273,273,0,2046,3180
274,274,0,2046,769
275,275,0,2046,832
276,276,0,2047,3246
277,277,0,2047,3306
278,278,0,2047,894
279,279,0,2046,715
280,280,0,2046,3116
281,281,0,2047,3416
282,282,0,2046,1030
283,283,0,2047,610
284,284,0,2046,2976
285,285,0,2046,3515
286,286,0,2046,1176
287,287,0,2046,520
288,288,0,2047,2825
289,289,0,2047,3598
290,290,0,2047,1330
291,291,0,2047,444
292,292,0,2047,2666
293,293,0,2047,3666
294,294,0,2046,1492
295,295,0,2047,385
296,296,0,2047,2502
297,297,0,2047,3715
298,298,0,2046,1660
299,299,0,2046,343
300,300,0,2046,2333
301,301,0,2046,3749
302,302,0,2047,1832
303,303,0,2046,318
304,304,0,2046,2159
305,305,0,2046,3765
306,306,0,2046,2005
307,307,0,2047,310
308,308,0,2046,1985
309,309,0,2046,3764
310,310,0,2046,2178
311,311,0,2046,320
312,312,0,2046,1812
313,313,0,2046,3746
314,314,0,2046,2350
315,315,0,2046,347
316,316,0,2046,1642
317,317,0,2047,3710
318,318,0,2047,2519
319,319,0,2046,391
320,320,0,2047,1475
321,321,0,2046,3658
322,322,0,2047,2684
323,323,0,2046,452
324,324,0,2047,1314
325,325,0,2046,3589
326,326,0,2047,2841
327,327,0,2046,529
328,328,0,2047,1159
329,329,0,2047,3505
330,330,0,2046,2991
331,331,0,2047,621
332,332,0,2046,1015
333,333,0,2047,3405
334,334,0,2047,3132
335,335,0,2047,727
336,336,0,2047,880
337,337,0,2046,3293
338,338,0,2046,3260
339,339,0,2047,847
340,340,0,2046,757
341,341,0,2047,3166
342,342,0,2046,3376
343,343,0,2047,979
344,344,0,2046,647
345,345,0,2046,3029
346,346,0,2046,3480
347,347,0,2046,1121
348,348,0,2046,551
349,349,0,2047,2882
350,350,0,2046,3569
351,351,0,2047,1272
352,352,0,2046,469
353,353,0,2047,2726
354,354,0,2047,3642
355,355,0,2046,1431
356,356,0,2047,405
357,357,0,2047,2564
358,358,0,2047,3699
359,359,0,2046,1597
360,360,0,2046,357
361,361,0,2047,2395
362,362,0,2047,3739
363,363,0,2046,1768
364,364,0,2046,326
365,365,0,2046,2224
366,366,0,2046,3762
367,367,0,2047,1940
368,368,0,2046,311
369,369,0,2046,2051
370,370,0,2047,3767
371,371,0,2046,2114
372,372,0,2046,314
373,373,0,2047,1876
374,374,0,2046,3755
375,375,0,2047,2287
376,376,0,2046,335
377,377,0,2047,1705
378,378,0,2047,3726
379,379,0,2047,2457
380,380,0,2046,372
381,381,0,2047,1538
382,382,0,2046,3680
383,383,0,2047,2624
384,384,0,2047,427
385,385,0,2047,1372
386,386,0,2047,3616
387,387,0,2046,2783
388,388,0,2046,497
389,389,0,2046,1216
390,390,0,2046,3537
391,391,0,2047,2937
392,392,0,2046,585
393,393,0,2047,1067
394,394,0,2046,3444
395,395,0,2046,3080
396,396,0,2046,686
397,397,0,2046,928
398,398,0,2047,3336
399,399,0,2047,3214
400,400,0,2046,800
401,401,0,2046,801
402,402,0,2046,3214
403,403,0,2046,3336
404,404,0,2047,928
405,405,0,2046,687
406,406,0,2046,3080
407,407,0,2046,3444
408,408,0,2046,1067
409,409,0,2046,585
410,410,0,2046,2937
411,411,0,2047,3537
412,412,0,2047,1215
413,413,0,2047,499
414,414,0,2046,2784
415,415,0,2047,3617
416,416,0,2046,1372
417,417,0,2047,427
418,418,0,2046,2625
419,419,0,2046,3679
420,420,0,2046,1536
421,421,0,2047,373
422,422,0,2046,2459
423,423,0,2046,3726
424,424,0,2046,1704
425,425,0,2047,335
426,426,0,2046,2287
427,427,0,2047,3756
428,428,0,2046,1877
429,429,0,2046,314
430,430,0,2046,2115
431,431,0,2046,3766
432,432,0,2046,2049
433,433,0,2046,311
434,434,0,2047,1941
435,435,0,2046,3762
436,436,0,2046,2223
437,437,0,2046,326
438,438,0,2047,1768
439,439,0,2046,3739
440,440,0,2046,2394
441,441,0,2046,356
442,442,0,2046,1598
443,443,0,2047,3699
444,444,0,2047,2563
445,445,0,2047,406
446,446,0,2047,1432
447,447,0,2046,3642
448,448,0,2047,2725
449,449,0,2046,470
450,450,0,2046,1273
451,451,0,2047,3569
452,452,0,2046,2881
453,453,0,2046,551
454,454,0,2046,1122
455,455,0,2047,3480
456,456,0,2046,3029
457,457,0,2046,647
458,458,0,2046,979
459,459,0,2046,3378
460,460,0,2046,3165
461,461,0,2047,757
462,462,0,2046,847
463,463,0,2046,3261
464,464,0,2046,3292
465,465,0,2046,880
466,466,0,2045,727
467,467,0,2046,3132
468,468,0,2047,3405
469,469,0,2046,1014
470,470,0,2047,621
471,471,0,2047,2992
472,472,0,2047,3504
473,473,0,2046,1159
474,474,0,2046,529
475,475,0,2046,2843
476,476,0,2047,3589
477,477,0,2046,1313
478,478,0,2046,452
479,479,0,2047,2685
480,480,0,2046,3658
481,481,0,2047,1474
482,482,0,2046,392
483,483,0,2046,2521
484,484,0,2046,3712
485,485,0,2047,1641
486,486,0,2047,346
487,487,0,2046,2351
488,488,0,2047,3746
489,489,0,2046,1812
490,490,0,2047,320
491,491,0,2046,2178
492,492,0,2046,3765
493,493,0,2046,1985
494,494,0,2047,310
495,495,0,2046,2005
496,496,0,2047,3765
497,497,0,2046,2158
498,498,0,2046,318
499,499,0,2046,1832
500,500,0,2047,3749
501,501,0,2046,2332
502,502,0,2046,343
503,503,0,2046,1661
504,504,0,2046,3716
505,505,0,2046,2501
506,506,0,2046,385
507,507,0,2046,1493
508,508,0,2047,3665
509,509,0,2047,2666
510,510,0,2046,444
511,511,0,2046,1332
512,512,0,2046,3598
513,513,0,2046,2824
514,514,0,2047,519
515,515,0,2046,1176
516,516,0,2046,3515
517,517,0,2046,2975
518,518,0,2046,610
519,519,0,2046,1031
520,520,0,2047,3417
521,521,0,2046,3115
522,522,0,2046,714
523,523,0,2046,895
524,524,0,2047,3306
525,525,0,2046,3247
526,526,0,2047,833
527,527,0,2047,771
528,528,0,2047,3182
529,529,0,2046,3364
530,530,0,2046,962
531,531,0,2047,659
532,532,0,2046,3045
533,533,0,2046,3469
534,534,0,2046,1104
535,535,0,2046,562
536,536,0,2046,2899
537,537,0,2047,3559
538,538,0,2047,1254
539,539,0,2046,479
540,540,0,2046,2744
541,541,0,2047,3635
542,542,0,2047,1414
543,543,0,2047,412
544,544,0,2046,2582
545,545,0,2046,3693
546,546,0,2046,1579
547,547,0,2046,362
548,548,0,2047,2415
549,549,0,2047,3734
550,550,0,2046,1747
551,551,0,2046,329
552,552,0,2047,2244
553,553,0,2047,3760
554,554,0,2046,1921
555,555,0,2047,312
556,556,0,2047,2070
557,557,0,2046,3767
558,558,0,2047,2094
559,559,0,2046,314
560,560,0,2046,1896
561,561,0,2046,3758
562,562,0,2046,2267
563,563,0,2046,331
564,564,0,2046,1724
565,565,0,2046,3731
566,566,0,2047,2438
567,567,0,2046,367
568,568,0,2047,1556
569,569,0,2046,3686
570,570,0,2047,2605
571,571,0,2047,421
572,572,0,2046,1392
573,573,0,2046,3625
574,574,0,2047,2766
575,575,0,2046,489
576,576,0,2046,1234
577,577,0,2047,3547
578,578,0,2046,2920
579,579,0,2046,574
580,580,0,2046,1084
581,581,0,2046,3455
582,582,0,2046,3064
583,583,0,2046,673
584,584,0,2046,944
585,585,0,2046,3349
586,586,0,2047,3200
587,587,0,2046,787
588,588,0,2047,815
589,589,0,2046,3229
590,590,0,2047,3323
591,591,0,2047,913
592,592,0,2046,699
593,593,0,2047,3097
594,594,0,2046,3432
595,595,0,2046,1050
596,596,0,2047,597
597,597,0,2047,2954
598,598,0,2046,3527
599,599,0,2046,1197
600,600,0,2047,509
601,601,0,2047,2803
602,602,0,2046,3609
603,603,0,2047,1353
604,604,0,2046,436
605,605,0,2047,2644
606,606,0,2047,3673
