Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,444
1,1,0,2047,2261
2,2,0,2047,3496
3,3,0,2047,915
4,4,0,2046,1275
5,5,0,2046,3632
6,6,0,2046,1816
7,7,0,2047,582
8,8,0,2047,3160
9,9,0,2047,2802
10,10,0,2046,444
11,11,0,2047,2261
12,12,0,2046,3496
13,13,0,2046,917
14,14,0,2046,1275
15,15,0,2047,3633
16,16,0,2046,1816
17,17,0,2047,581
18,18,0,2046,3160
19,19,0,2047,2802
20,20,0,2047,444
21,21,0,2046,2261
22,22,0,2046,3496
23,23,0,2047,916
24,24,0,2047,1274
25,25,0,2047,3632
26,26,0,2046,1816
27,27,0,2047,581
28,28,0,2046,3160
29,29,0,2047,2802
30,30,0,2047,444
31,31,0,2046,2260
32,32,0,2047,3496
33,33,0,2046,916
34,34,0,2046,1274
35,35,0,2046,3633
36,36,0,2046,1816
37,37,0,2047,582
38,38,0,2047,3160
39,39,0,2047,2802
40,40,0,2046,444
41,41,0,2047,2260
42,42,0,2046,3495
43,43,0,2046,917
44,44,0,2047,1274
45,45,0,2047,3633
46,46,0,2046,1817
47,47,0,2047,581
48,48,0,2046,3161
49,49,0,2047,2802
50,50,0,2047,444
51,51,0,2047,2260
52,52,0,2047,3496
53,53,0,2046,916
54,54,0,2046,1274
55,55,0,2046,3632
56,56,0,2047,1817
57,57,0,2047,581
58,58,0,2047,3160
59,59,0,2046,2803
60,60,0,2047,444
61,61,0,2046,2260
62,62,0,2047,3496
63,63,0,2046,916
64,64,0,2046,1274
65,65,0,2046,3633
66,66,0,2047,1817
67,67,0,2047,581
68,68,0,2046,3160
69,69,0,2047,2803
70,70,0,2046,444
71,71,0,2046,2260
72,72,0,2046,3496
73,73,0,2046,916
74,74,0,2046,1275
75,75,0,2046,3633
76,76,0,2046,1817
77,77,0,2047,581
78,78,0,2046,3160
79,79,0,2046,2803
80,80,0,2046,445
81,81,0,2047,2260
82,82,0,2046,3496
83,83,0,2046,917
84,84,0,2047,1274
