Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,1383
1,1,0,2047,1337
2,2,0,2046,1293
3,3,0,2047,1249
4,4,0,2046,1205
5,5,0,2045,1162
6,6,0,2046,1118
7,7,0,2047,1076
8,8,0,2046,1035
9,9,0,2046,995
10,10,0,2047,955
11,11,0,2046,916
12,12,0,2046,877
13,13,0,2047,840
14,14,0,2046,803
15,15,0,2046,766
16,16,0,2047,731
17,17,0,2046,697
18,18,0,2047,664
19,19,0,2046,631
20,20,0,2046,600
21,21,0,2047,570
22,22,0,2046,540
23,23,0,2046,512
24,24,0,2047,485
25,25,0,2046,458
26,26,0,2046,433
27,27,0,2047,409
28,28,0,2046,386
29,29,0,2046,363
30,30,0,2046,342
31,31,0,2046,322
32,32,0,2046,304
33,33,0,2046,286
34,34,0,2046,269
35,35,0,2046,254
36,36,0,2047,240
37,37,0,2047,227
38,38,0,2047,215
39,39,0,2046,203
40,40,0,2046,194
41,41,0,2047,186
42,42,0,2047,179
43,43,0,2046,172
44,44,0,2046,166
45,45,0,2046,163
46,46,0,2046,159
47,47,0,2046,158
48,48,0,2047,158
49,49,0,2046,158
50,50,0,2046,160
51,51,0,2047,162
52,52,0,2046,166
53,53,0,2047,172
54,54,0,2047,178
55,55,0,2046,185
56,56,0,2047,193
57,57,0,2047,202
58,58,0,2046,213
59,59,0,2046,225
60,60,0,2047,238
61,61,0,2046,251
62,62,0,2047,266
63,63,0,2047,283
64,64,0,2047,300
65,65,0,2046,318
66,66,0,2046,337
67,67,0,2046,357
68,68,0,2046,378
69,69,0,2046,401
70,70,0,2047,423
71,71,0,2046,447
72,72,0,2046,473
73,73,0,2046,499
74,74,0,2046,526
75,75,0,2047,554
76,76,0,2046,583
77,77,0,2047,612
78,78,0,2047,643
79,79,0,2046,675
80,80,0,2046,707
81,81,0,2046,740
82,82,0,2046,775
83,83,0,2046,810
84,84,0,2047,845
85,85,0,2046,882
86,86,0,2046,919
87,87,0,2046,958
88,88,0,2047,996
89,89,0,2047,1035
90,90,0,2046,1075
91,91,0,2047,1115
92,92,0,2047,1158
93,93,0,2046,1199
94,94,0,2046,1242
95,95,0,2046,1285
96,96,0,2047,1329
97,97,0,2046,1373
98,98,0,2047,1417
99,99,0,2046,1463
100,100,0,2046,1508
101,101,0,2046,1555
102,102,0,2046,1600
103,103,0,2046,1647
104,104,0,2045,1694
105,105,0,2047,1741
106,106,0,2046,1789
107,107,0,2047,1837
108,108,0,2046,1884
109,109,0,2047,1933
110,110,0,2047,1981
111,111,0,2046,2029
112,112,0,2046,2078
113,113,0,2046,2125
114,114,0,2047,2173
115,115,0,2046,2222
116,116,0,2047,2270
117,117,0,2046,2318
118,118,0,2047,2366
119,119,0,2046,2413
120,120,0,2046,2461
121,121,0,2047,2509
122,122,0,2047,2555
123,123,0,2046,2602
124,124,0,2047,2647
125,125,0,2046,2693
126,126,0,2046,2739
127,127,0,2047,2784
128,128,0,2046,2828
129,129,0,2046,2873
130,130,0,2047,2916
131,131,0,2046,2957
132,132,0,2047,3001
133,133,0,2047,3042
134,134,0,2047,3082
135,135,0,2047,3123
136,136,0,2046,3162
